series_id,series_label,source_paper,source_year,source_doi,source_experiment,subject_id,perturbation_size_deg,extent_window,subject_mean_extent_deg
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,1,2.0,cycles 100-110 inclusive,13.242045183678965
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,2,2.0,cycles 100-110 inclusive,8.752672821663918
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,3,2.0,cycles 100-110 inclusive,11.270991160478845
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,4,2.0,cycles 100-110 inclusive,12.065321450216771
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,5,2.0,cycles 100-110 inclusive,13.185043852116404
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,6,2.0,cycles 100-110 inclusive,5.1072016548138786
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,7,2.0,cycles 100-110 inclusive,7.575706802529657
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,8,2.0,cycles 100-110 inclusive,3.154886271868551
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,9,2.0,cycles 100-110 inclusive,17.551055203629364
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,10,2.0,cycles 100-110 inclusive,14.270000390702922
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,11,2.0,cycles 100-110 inclusive,6.804274667621118
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,12,2.0,cycles 100-110 inclusive,8.986843165461226
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,13,4.0,cycles 100-110 inclusive,17.818147416067507
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,14,4.0,cycles 100-110 inclusive,20.373400071440372
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,15,4.0,cycles 100-110 inclusive,14.065688901435017
