series_order,series_id,series_label,source_paper,source_year,source_doi,source_dataset,source_dataset_doi,source_dataset_url,source_experiment,data_origin,perturbation_size_deg,adaptation_extent_deg,sem_deg,n_subjects,extent_window,panel_target,notes
1,kim_2018_exp1,"Kim, 2018 exp1","Kim et al., 2018",2018,10.1038/s42003-018-0021-y,Fig1B.csv,10.6084/m9.figshare.24503926.v2,https://doi.org/10.6084/m9.figshare.24503926.v2,Experiment 1,published_summary_point_from_elife_figshare,1.0,8.1720463650827,,,as provided in Fig1B.csv,eLife 94608 Figure 1B scatter points,Legacy summary point included by Zhang et al. in Fig1B.csv.
1,kim_2018_exp1,"Kim, 2018 exp1","Kim et al., 2018",2018,10.1038/s42003-018-0021-y,Fig1B.csv,10.6084/m9.figshare.24503926.v2,https://doi.org/10.6084/m9.figshare.24503926.v2,Experiment 1,published_summary_point_from_elife_figshare,1.75,14.9057965266296,,,as provided in Fig1B.csv,eLife 94608 Figure 1B scatter points,Legacy summary point included by Zhang et al. in Fig1B.csv.
1,kim_2018_exp1,"Kim, 2018 exp1","Kim et al., 2018",2018,10.1038/s42003-018-0021-y,Fig1B.csv,10.6084/m9.figshare.24503926.v2,https://doi.org/10.6084/m9.figshare.24503926.v2,Experiment 1,published_summary_point_from_elife_figshare,3.5,18.8401224637132,,,as provided in Fig1B.csv,eLife 94608 Figure 1B scatter points,Legacy summary point included by Zhang et al. in Fig1B.csv.
1,kim_2018_exp1,"Kim, 2018 exp1","Kim et al., 2018",2018,10.1038/s42003-018-0021-y,Fig1B.csv,10.6084/m9.figshare.24503926.v2,https://doi.org/10.6084/m9.figshare.24503926.v2,Experiment 1,published_summary_point_from_elife_figshare,6.0,21.4125663456525,,,as provided in Fig1B.csv,eLife 94608 Figure 1B scatter points,Legacy summary point included by Zhang et al. in Fig1B.csv.
1,kim_2018_exp1,"Kim, 2018 exp1","Kim et al., 2018",2018,10.1038/s42003-018-0021-y,Fig1B.csv,10.6084/m9.figshare.24503926.v2,https://doi.org/10.6084/m9.figshare.24503926.v2,Experiment 1,published_summary_point_from_elife_figshare,10.0,18.1904414447282,,,as provided in Fig1B.csv,eLife 94608 Figure 1B scatter points,Legacy summary point included by Zhang et al. in Fig1B.csv.
1,kim_2018_exp1,"Kim, 2018 exp1","Kim et al., 2018",2018,10.1038/s42003-018-0021-y,Fig1B.csv,10.6084/m9.figshare.24503926.v2,https://doi.org/10.6084/m9.figshare.24503926.v2,Experiment 1,published_summary_point_from_elife_figshare,15.0,17.3039036847866,,,as provided in Fig1B.csv,eLife 94608 Figure 1B scatter points,Legacy summary point included by Zhang et al. in Fig1B.csv.
1,kim_2018_exp1,"Kim, 2018 exp1","Kim et al., 2018",2018,10.1038/s42003-018-0021-y,Fig1B.csv,10.6084/m9.figshare.24503926.v2,https://doi.org/10.6084/m9.figshare.24503926.v2,Experiment 1,published_summary_point_from_elife_figshare,45.0,13.8562568405691,,,as provided in Fig1B.csv,eLife 94608 Figure 1B scatter points,Legacy summary point included by Zhang et al. in Fig1B.csv.
2,kim_2018_exp2,"Kim, 2018 exp2","Kim et al., 2018",2018,10.1038/s42003-018-0021-y,Fig1B.csv,10.6084/m9.figshare.24503926.v2,https://doi.org/10.6084/m9.figshare.24503926.v2,Experiment 2,published_summary_point_from_elife_figshare,1.75,26.1738066095471,,,as provided in Fig1B.csv,eLife 94608 Figure 1B scatter points,Legacy summary point included by Zhang et al. in Fig1B.csv.
2,kim_2018_exp2,"Kim, 2018 exp2","Kim et al., 2018",2018,10.1038/s42003-018-0021-y,Fig1B.csv,10.6084/m9.figshare.24503926.v2,https://doi.org/10.6084/m9.figshare.24503926.v2,Experiment 2,published_summary_point_from_elife_figshare,3.5,28.8176254589963,,,as provided in Fig1B.csv,eLife 94608 Figure 1B scatter points,Legacy summary point included by Zhang et al. in Fig1B.csv.
2,kim_2018_exp2,"Kim, 2018 exp2","Kim et al., 2018",2018,10.1038/s42003-018-0021-y,Fig1B.csv,10.6084/m9.figshare.24503926.v2,https://doi.org/10.6084/m9.figshare.24503926.v2,Experiment 2,published_summary_point_from_elife_figshare,15.0,28.3825209922338,,,as provided in Fig1B.csv,eLife 94608 Figure 1B scatter points,Legacy summary point included by Zhang et al. in Fig1B.csv.
3,morehead_2017,"Morehead, 2017","Morehead et al., 2017",2017,10.1162/jocn_a_01108,Fig1B.csv,10.6084/m9.figshare.24503926.v2,https://doi.org/10.6084/m9.figshare.24503926.v2,Task-irrelevant clamped feedback,published_summary_point_from_elife_figshare,7.5,13.6091087811271,,,as provided in Fig1B.csv,eLife 94608 Figure 1B scatter points,Legacy summary point included by Zhang et al. in Fig1B.csv.
