series_order,series_id,series_label,source_paper,source_year,source_doi,source_dataset,source_dataset_doi,source_dataset_url,source_experiment,data_origin,perturbation_size_deg,adaptation_extent_deg,sem_deg,n_subjects,extent_window,panel_target,notes
5,morehead_multiclamp_local,Morehead multi-clamp,Ryan Morehead multi-size clamp data,,,MultiClampRyanMorehead/*.mat,,,Local multi-size clamp MATLAB files,recomputed_from_local_matlab_files,1.75,16.890022180632975,2.8053226176349773,19,mean aligned trials 301-500 after baseline correction using aligned trials 31-40,Panel-B-style perturbation-size summary,"Recomputed from local MATLAB files using the exact late-learning logic in MultiSizeClamp_allsizes_plotting.m. Includes local multi-size clamp data and additional small-sample conditions not present in the published Morehead 2017 summary. For the 1.75/2.5/3.5/7.5 block, subject 1 is excluded entirely to avoid relying on the manual duplicated-condition repair used in the original MATLAB plotting script."
5,morehead_multiclamp_local,Morehead multi-clamp,Ryan Morehead multi-size clamp data,,,MultiClampRyanMorehead/*.mat,,,Local multi-size clamp MATLAB files,recomputed_from_local_matlab_files,2.5,18.446060808959817,2.720141597623877,19,mean aligned trials 301-500 after baseline correction using aligned trials 31-40,Panel-B-style perturbation-size summary,"Recomputed from local MATLAB files using the exact late-learning logic in MultiSizeClamp_allsizes_plotting.m. Includes local multi-size clamp data and additional small-sample conditions not present in the published Morehead 2017 summary. For the 1.75/2.5/3.5/7.5 block, subject 1 is excluded entirely to avoid relying on the manual duplicated-condition repair used in the original MATLAB plotting script."
5,morehead_multiclamp_local,Morehead multi-clamp,Ryan Morehead multi-size clamp data,,,MultiClampRyanMorehead/*.mat,,,Local multi-size clamp MATLAB files,recomputed_from_local_matlab_files,3.5,22.1469448505138,2.3154192940597538,19,mean aligned trials 301-500 after baseline correction using aligned trials 31-40,Panel-B-style perturbation-size summary,"Recomputed from local MATLAB files using the exact late-learning logic in MultiSizeClamp_allsizes_plotting.m. Includes local multi-size clamp data and additional small-sample conditions not present in the published Morehead 2017 summary. For the 1.75/2.5/3.5/7.5 block, subject 1 is excluded entirely to avoid relying on the manual duplicated-condition repair used in the original MATLAB plotting script."
5,morehead_multiclamp_local,Morehead multi-clamp,Ryan Morehead multi-size clamp data,,,MultiClampRyanMorehead/*.mat,,,Local multi-size clamp MATLAB files,recomputed_from_local_matlab_files,7.5,29.65835058639873,3.581325593513126,19,mean aligned trials 301-500 after baseline correction using aligned trials 31-40,Panel-B-style perturbation-size summary,"Recomputed from local MATLAB files using the exact late-learning logic in MultiSizeClamp_allsizes_plotting.m. Includes local multi-size clamp data and additional small-sample conditions not present in the published Morehead 2017 summary. For the 1.75/2.5/3.5/7.5 block, subject 1 is excluded entirely to avoid relying on the manual duplicated-condition repair used in the original MATLAB plotting script."
5,morehead_multiclamp_local,Morehead multi-clamp,Ryan Morehead multi-size clamp data,,,MultiClampRyanMorehead/*.mat,,,Local multi-size clamp MATLAB files,recomputed_from_local_matlab_files,15.0,29.00939802822181,2.234690990272858,21,mean aligned trials 301-500 after baseline correction using aligned trials 31-40,Panel-B-style perturbation-size summary,"Recomputed from local MATLAB files using the exact late-learning logic in MultiSizeClamp_allsizes_plotting.m. Includes local multi-size clamp data and additional small-sample conditions not present in the published Morehead 2017 summary. For the 1.75/2.5/3.5/7.5 block, subject 1 is excluded entirely to avoid relying on the manual duplicated-condition repair used in the original MATLAB plotting script."
5,morehead_multiclamp_local,Morehead multi-clamp,Ryan Morehead multi-size clamp data,,,MultiClampRyanMorehead/*.mat,,,Local multi-size clamp MATLAB files,recomputed_from_local_matlab_files,30.0,28.05806604166109,3.1099069276567217,21,mean aligned trials 301-500 after baseline correction using aligned trials 31-40,Panel-B-style perturbation-size summary,"Recomputed from local MATLAB files using the exact late-learning logic in MultiSizeClamp_allsizes_plotting.m. Includes local multi-size clamp data and additional small-sample conditions not present in the published Morehead 2017 summary. For the 1.75/2.5/3.5/7.5 block, subject 1 is excluded entirely to avoid relying on the manual duplicated-condition repair used in the original MATLAB plotting script."
5,morehead_multiclamp_local,Morehead multi-clamp,Ryan Morehead multi-size clamp data,,,MultiClampRyanMorehead/*.mat,,,Local multi-size clamp MATLAB files,recomputed_from_local_matlab_files,45.0,26.784396775952274,2.7764298828411356,21,mean aligned trials 301-500 after baseline correction using aligned trials 31-40,Panel-B-style perturbation-size summary,"Recomputed from local MATLAB files using the exact late-learning logic in MultiSizeClamp_allsizes_plotting.m. Includes local multi-size clamp data and additional small-sample conditions not present in the published Morehead 2017 summary. For the 1.75/2.5/3.5/7.5 block, subject 1 is excluded entirely to avoid relying on the manual duplicated-condition repair used in the original MATLAB plotting script."
5,morehead_multiclamp_local,Morehead multi-clamp,Ryan Morehead multi-size clamp data,,,MultiClampRyanMorehead/*.mat,,,Local multi-size clamp MATLAB files,recomputed_from_local_matlab_files,60.0,20.779566293019155,2.011975143136313,21,mean aligned trials 301-500 after baseline correction using aligned trials 31-40,Panel-B-style perturbation-size summary,"Recomputed from local MATLAB files using the exact late-learning logic in MultiSizeClamp_allsizes_plotting.m. Includes local multi-size clamp data and additional small-sample conditions not present in the published Morehead 2017 summary. For the 1.75/2.5/3.5/7.5 block, subject 1 is excluded entirely to avoid relying on the manual duplicated-condition repair used in the original MATLAB plotting script."
5,morehead_multiclamp_local,Morehead multi-clamp,Ryan Morehead multi-size clamp data,,,MultiClampRyanMorehead/*.mat,,,Local multi-size clamp MATLAB files,recomputed_from_local_matlab_files,70.0,19.236713853869176,1.8485257533808563,18,mean aligned trials 301-500 after baseline correction using aligned trials 31-40,Panel-B-style perturbation-size summary,"Recomputed from local MATLAB files using the exact late-learning logic in MultiSizeClamp_allsizes_plotting.m. Includes local multi-size clamp data and additional small-sample conditions not present in the published Morehead 2017 summary. For the 1.75/2.5/3.5/7.5 block, subject 1 is excluded entirely to avoid relying on the manual duplicated-condition repair used in the original MATLAB plotting script."
5,morehead_multiclamp_local,Morehead multi-clamp,Ryan Morehead multi-size clamp data,,,MultiClampRyanMorehead/*.mat,,,Local multi-size clamp MATLAB files,recomputed_from_local_matlab_files,80.0,12.681969131301907,1.9561421668712693,18,mean aligned trials 301-500 after baseline correction using aligned trials 31-40,Panel-B-style perturbation-size summary,"Recomputed from local MATLAB files using the exact late-learning logic in MultiSizeClamp_allsizes_plotting.m. Includes local multi-size clamp data and additional small-sample conditions not present in the published Morehead 2017 summary. For the 1.75/2.5/3.5/7.5 block, subject 1 is excluded entirely to avoid relying on the manual duplicated-condition repair used in the original MATLAB plotting script."
