age,browser_version,computer,consent_time,gender,hand,height_px,monitor,pointer,ppid_session_dataname,px_ratio,width_px
54.0,"Firefox, 118",Desktop,10/12/2023 1:42:56 PM,Male,Left,1024,External Monitor,Mouse,485655207419_s001_participant_details,1,1280
41.0,"Chrome, 118",Laptop,10/13/2023 1:06:44 PM,Male,Right,723,Laptop Monitor,Mouse,239901129854_s001_participant_details,1.5,1286
69.0,"Chrome, 117",Laptop,10/13/2023 1:08:52 PM,Male,Right,864,Laptop Monitor,Trackpad,146859203465_s001_participant_details,1.25,1536
62.0,"Chrome, 117",Laptop,10/12/2023 1:53:13 PM,Male,Right,864,Laptop Monitor,Mouse,65172413131_s001_participant_details,1.25,1536
40.0,"Chrome, 117",Laptop,10/12/2023 1:42:15 PM,Female,Right,720,Laptop Monitor,Trackpad,359167709713_s001_participant_details,1.5,1280
31.0,"Chrome, 118",Laptop,10/13/2023 1:02:40 PM,Male,Right,1080,External Monitor,Mouse,830310877645_s001_participant_details,1,1920
62.0,"Chrome, 117",Laptop,10/13/2023 1:05:43 PM,Female,Right,1200,Laptop Monitor,Mouse,19706308376_s001_participant_details,2,1920
69.0,"Opera, undefined",Laptop,10/12/2023 1:51:17 PM,Male,Right,720,Laptop Monitor,Trackpad,141579159069_s001_participant_details,1.5,1280
56.0,"Chrome, 103",Laptop,10/12/2023 1:50:27 PM,Male,Right,800,Laptop Monitor,Mouse,86995724355_s001_participant_details,2,1280
27.0,"Chrome, 117",Laptop,10/13/2023 1:12:13 PM,Female,Right,768,Laptop Monitor,Trackpad,608781518181_s001_participant_details,1,1366
63.0,"Chrome, 117",Desktop,10/13/2023 1:06:35 PM,Male,Right,768,External Monitor,Mouse,230769543210_s001_participant_details,1,1366
53.0,"Firefox, 115",Laptop,10/12/2023 8:02:06 AM,Male,Right,768,Laptop Monitor,Trackpad,455088283633_s001_participant_details,1,1366
37.0,"Chrome, 118",Laptop,10/13/2023 1:06:00 PM,Female,Right,900,Laptop Monitor,Trackpad,214072812348_s001_participant_details,1,1440
51.0,"Chrome, 114",Laptop,10/13/2023 1:09:17 PM,Female,Right,768,Laptop Monitor,Mouse,754786406643_s001_participant_details,1,1366
49.0,"Chrome, 117",Desktop,10/13/2023 1:07:06 PM,Male,Right,962,External Monitor,Mouse,929164172383_s001_participant_details,1.25,1544
26.0,"Chrome, 118",Laptop,10/13/2023 1:06:56 PM,Female,Left,768,Laptop Monitor,Trackpad,606417353264_s001_participant_details,1,1366
41.0,"Firefox, 117",Laptop,10/13/2023 1:05:37 PM,Male,Right,864,Laptop Monitor,Mouse,35938706947_s001_participant_details,1.25,1536
29.0,"Chrome, 117",Laptop,10/13/2023 1:06:46 PM,Female,Right,720,Laptop Monitor,Trackpad,208917626878_s001_participant_details,1.5,1280
38.0,"Safari, 15",Laptop,10/13/2023 1:10:43 PM,Male,Right,900,Laptop Monitor,Trackpad,131377047859_s001_participant_details,2,1440
50.0,"Chrome, 118",Laptop,10/12/2023 1:45:46 PM,Female,Right,768,Laptop Monitor,Mouse,568911038571_s001_participant_details,1,1366
44.0,"Chrome, 117",Laptop,10/13/2023 1:04:43 PM,Male,Right,768,Laptop Monitor,Trackpad,750626990804_s001_participant_details,0.6666666865348816,1366
31.0,"Chrome, 117",Desktop,10/13/2023 1:03:19 PM,Female,Right,1080,External Monitor,Mouse,569270235486_s001_participant_details,0.8999999761581421,1920
