clamp_magnitude,forward,forward_ci95,sideways,sideways_ci95,n_participants,ballistic_fraction,sample_percent,panel,path_type
2.0,-17.803861714898442,12.734799551622679,12.264063077757115,13.649783295203273,48.0,0.2,20.0,Human,condition_mean
3.0,-8.323389060829816,9.929931095319485,5.3255215344597815,7.381220362121992,49.0,0.2,20.0,Human,condition_mean
4.0,-13.294410274480349,14.56084463266518,-2.5602075926553436,11.627470692305165,48.0,0.2,20.0,Human,condition_mean
5.0,-24.735707687587183,18.05799349736013,-4.78647707821788,16.298725454187558,49.0,0.2,20.0,Human,condition_mean
6.0,-22.712171951742068,17.845618191712994,12.648147223395098,9.952168332576411,48.0,0.2,20.0,Human,condition_mean
7.0,-15.598862769927791,16.347435955916513,3.145418913284503,7.138307089639764,49.0,0.2,20.0,Human,condition_mean
8.0,-9.591215504549659,13.285318404711461,-4.814964095474319,14.087920431206568,48.0,0.2,20.0,Human,condition_mean
10.0,-12.902670780698204,11.265363229799009,9.140238700285675,7.3424528928753166,49.0,0.2,20.0,Human,condition_mean
15.0,-5.0694878887668064,16.207577965231543,-1.1413386116898676,9.992413882151952,49.0,0.2,20.0,Human,condition_mean
20.0,-14.407202146119241,14.788001466710535,7.59577472995162,5.501350958053102,50.0,0.2,20.0,Human,condition_mean
25.0,-12.372983818653594,13.57635686490452,14.422046057065506,10.956398387483373,50.0,0.2,20.0,Human,condition_mean
30.0,3.729282950252157,13.96769011222389,11.603050920436708,7.726257319139828,50.0,0.2,20.0,Human,condition_mean
35.0,-6.347664374573028,16.42390259776065,15.066134762352242,7.338602168723969,50.0,0.2,20.0,Human,condition_mean
40.0,0.14286642917339548,15.59765364655201,14.399171267027757,6.230401789981998,50.0,0.2,20.0,Human,condition_mean
45.0,-9.668920393347333,12.238450658088286,12.03133007409019,7.534451237710869,50.0,0.2,20.0,Human,condition_mean
50.0,3.6518155540502915,13.720065927142274,12.455044121026445,6.033741919770217,50.0,0.2,20.0,Human,condition_mean
55.0,-8.61459334974644,12.351043427112838,4.306955379115307,8.00559645746235,48.0,0.2,20.0,Human,condition_mean
60.0,-2.3463618632842578,22.04552339580363,-6.9351306722832415,19.3052098433106,46.0,0.2,20.0,Human,condition_mean
65.0,-4.913698904097732,13.61414291229138,12.786026622599273,9.413503823749425,48.0,0.2,20.0,Human,condition_mean
70.0,-4.431624468924476,20.70574742912019,8.339348683930782,11.911950384878025,46.0,0.2,20.0,Human,condition_mean
75.0,-12.206931093312642,15.981686256324538,15.220014315332415,18.4428007551898,48.0,0.2,20.0,Human,condition_mean
80.0,5.664925690876418,17.144551177584685,-2.9655375108274113,16.766283631857437,46.0,0.2,20.0,Human,condition_mean
85.0,-0.40792514152975606,11.656525225979758,12.445707281818343,6.409951383971272,48.0,0.2,20.0,Human,condition_mean
