subsetSlug,subsetLabel,model,sourceModel,parameterization,parameter,baseParameter,deviceSubsetSlug,deviceSubsetLabel,fittedValue,fixed
joint_devices,Mouse + Trackpad joint,MeanTimeseriesBaseBCC,MeanTimeseriesBaseBCC,joint_device_fixed_motorVar,propVar_mouse,propVar,mouse,Mouse,1000.0,False
joint_devices,Mouse + Trackpad joint,MeanTimeseriesBaseBCC,MeanTimeseriesBaseBCC,joint_device_fixed_motorVar,propVar_trackpad,propVar,trackpad,Trackpad,681.3484088870764,False
joint_devices,Mouse + Trackpad joint,MeanTimeseriesBaseBCC,MeanTimeseriesBaseBCC,joint_device_fixed_motorVar,visVarSlope,visVarSlope,,Shared,0.4412303014632289,False
joint_devices,Mouse + Trackpad joint,MeanTimeseriesBaseBCC,MeanTimeseriesBaseBCC,joint_device_fixed_motorVar,retention,retention,,Shared,0.9781164434895512,False
joint_devices,Mouse + Trackpad joint,MeanTimeseriesBaseBCC,MeanTimeseriesBaseBCC,joint_device_fixed_motorVar,lr,lr,,Shared,0.1169258972038008,False
joint_devices,Mouse + Trackpad joint,MeanTimeseriesBaseBCC,MeanTimeseriesBaseBCC,fixed,visVarInt,visVarInt,,Shared,1.853,True
joint_devices,Mouse + Trackpad joint,MeanTimeseriesBaseBCC,MeanTimeseriesBaseBCC,fixed_by_device,motorVar_mouse,motorVar,mouse,Mouse,81.42877507299032,True
joint_devices,Mouse + Trackpad joint,MeanTimeseriesBaseBCC,MeanTimeseriesBaseBCC,fixed_by_device,motorVar_trackpad,motorVar,trackpad,Trackpad,43.75327994968318,True
joint_devices,Mouse + Trackpad joint,MeanTimeseriesCausalInf,MeanTimeseriesCausalInf,joint_device_fixed_motorVar,senseVar_mouse,senseVar,mouse,Mouse,2254.340386968759,False
joint_devices,Mouse + Trackpad joint,MeanTimeseriesCausalInf,MeanTimeseriesCausalInf,joint_device_fixed_motorVar,senseVar_trackpad,senseVar,trackpad,Trackpad,1330.959952475392,False
joint_devices,Mouse + Trackpad joint,MeanTimeseriesCausalInf,MeanTimeseriesCausalInf,joint_device_fixed_motorVar,c,c,,Shared,0.2182676006685418,False
joint_devices,Mouse + Trackpad joint,MeanTimeseriesCausalInf,MeanTimeseriesCausalInf,joint_device_fixed_motorVar,retention,retention,,Shared,0.9658693357038292,False
joint_devices,Mouse + Trackpad joint,MeanTimeseriesCausalInf,MeanTimeseriesCausalInf,joint_device_fixed_motorVar,lr,lr,,Shared,1.0,False
joint_devices,Mouse + Trackpad joint,MeanTimeseriesVectorBCC,MeanTimeseriesVectorBCC,joint_device_fixed_motorVar,propVar_mouse,propVar,mouse,Mouse,340.2161461624544,False
joint_devices,Mouse + Trackpad joint,MeanTimeseriesVectorBCC,MeanTimeseriesVectorBCC,joint_device_fixed_motorVar,propVar_trackpad,propVar,trackpad,Trackpad,121.82691508802334,False
joint_devices,Mouse + Trackpad joint,MeanTimeseriesVectorBCC,MeanTimeseriesVectorBCC,joint_device_fixed_motorVar,visVarSlope,visVarSlope,,Shared,0.1867866886814298,False
joint_devices,Mouse + Trackpad joint,MeanTimeseriesVectorBCC,MeanTimeseriesVectorBCC,joint_device_fixed_motorVar,retention,retention,,Shared,0.983539585463393,False
joint_devices,Mouse + Trackpad joint,MeanTimeseriesVectorBCC,MeanTimeseriesVectorBCC,joint_device_fixed_motorVar,lr,lr,,Shared,0.0813221299996562,False
joint_devices,Mouse + Trackpad joint,MeanTimeseriesVectorBCC,MeanTimeseriesVectorBCC,fixed,visVarInt,visVarInt,,Shared,1.853,True
joint_devices,Mouse + Trackpad joint,MeanTimeseriesVectorBCC,MeanTimeseriesVectorBCC,fixed_by_device,motorVar_mouse,motorVar,mouse,Mouse,81.42877507299032,True
joint_devices,Mouse + Trackpad joint,MeanTimeseriesVectorBCC,MeanTimeseriesVectorBCC,fixed_by_device,motorVar_trackpad,motorVar,trackpad,Trackpad,43.75327994968318,True
