candidateModel,parameterization,negLogLik,rmse,elapsedSeconds,nRows,nParams,AIC,BIC,recovered_propVar_mouse,recovered_propVar_trackpad,recovered_visVarSlope,recovered_retention,recovered_lr,recovered_raw_propVar_mouse,recovered_raw_propVar_trackpad,recovered_raw_visVarSlope,recovered_raw_retention,recovered_raw_lr,recovered_raw_visVarInt,recovered_visVarInt,recovered_raw_motorVar_mouse,recovered_motorVar_mouse,recovered_raw_motorVar_trackpad,recovered_motorVar_trackpad,subsetSlug,subsetLabel,syntheticId,drawIndex,generatingModel,true_propVar_mouse,true_propVar_trackpad,true_visVarSlope,true_retention,true_lr,true_raw_propVar_mouse,true_raw_propVar_trackpad,true_raw_visVarSlope,true_raw_retention,true_raw_lr,true_raw_visVarInt,true_visVarInt,true_raw_motorVar_mouse,true_motorVar_mouse,true_raw_motorVar_trackpad,true_motorVar_trackpad,fitSeed,recovered_senseVar_mouse,recovered_senseVar_trackpad,recovered_c,recovered_raw_senseVar_mouse,recovered_raw_senseVar_trackpad,recovered_raw_c,true_senseVar_mouse,true_senseVar_trackpad,true_c,true_raw_senseVar_mouse,true_raw_senseVar_trackpad,true_raw_c
MeanTimeseriesBaseBCC,joint_device_fixed_motorVar,66109.72908928848,7.084341446041,286.427983600006,20800,5,132229.45817857696,132269.1717199054,202.94263031108443,115.64627274887583,0.4662088998077851,0.9870156093542578,0.026321048651808177,202.94263031108443,115.64627274887583,0.4662088998077851,0.9870156093542578,0.026321048651808177,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0000,0,MeanTimeseriesBaseBCC,730.9841842406452,370.4000611214077,0.5846694694277819,0.9842983770338329,0.02984812746275034,730.9841842406452,370.4000611214077,0.5846694694277819,0.9842983770338329,0.02984812746275034,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,2007626659,,,,,,,,,,,,
MeanTimeseriesCausalInf,joint_device_fixed_motorVar,67366.10190653506,7.316079246426462,210.93005099998845,20800,5,134742.2038130701,134781.91735439855,,,,0.9807240907694107,0.9998249413334892,,,,0.9807240907694107,0.9998249413334892,,,,,,,joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0000,0,MeanTimeseriesBaseBCC,730.9841842406452,370.4000611214077,0.5846694694277819,0.9842983770338329,0.02984812746275034,730.9841842406452,370.4000611214077,0.5846694694277819,0.9842983770338329,0.02984812746275034,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,1014313998,1085.831618756865,336.22089784003157,1.3525018847104877,1085.831618756865,336.22089784003157,1.3525018847104877,,,,,,
MeanTimeseriesVectorBCC,joint_device_fixed_motorVar,66307.79843457477,7.106985576965759,1638.7966099000041,20800,5,132625.59686914954,132665.31041047798,9.458906698041952,5.756541098506436,0.1253939331955269,1.0,0.030073714369676624,9.458906698041952,5.756541098506436,0.1253939331955269,1.0,0.030073714369676624,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0000,0,MeanTimeseriesBaseBCC,730.9841842406452,370.4000611214077,0.5846694694277819,0.9842983770338329,0.02984812746275034,730.9841842406452,370.4000611214077,0.5846694694277819,0.9842983770338329,0.02984812746275034,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,2101520649,,,,,,,,,,,,
MeanTimeseriesBaseBCC,joint_device_fixed_motorVar,66093.31557343614,7.108018675097711,181.72670699999435,20800,5,132196.63114687227,132236.3446882007,727.6106551243356,414.8175361269343,0.5339869103536335,0.9569102569830232,0.1397786931672972,727.6106551243356,414.8175361269343,0.5339869103536335,0.9569102569830232,0.1397786931672972,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0001,1,MeanTimeseriesBaseBCC,966.7700622345228,655.2247586208825,0.5556560235740104,0.9547634343902317,0.14273942699240247,966.7700622345228,655.2247586208825,0.5556560235740104,0.9547634343902317,0.14273942699240247,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,2108964480,,,,,,,,,,,,
MeanTimeseriesCausalInf,joint_device_fixed_motorVar,71279.54691670058,7.995952787625918,201.85746699999436,20800,5,142569.09383340116,142608.8073747296,,,,0.9388238551476739,1.0,,,,0.9388238551476739,1.0,,,,,,,joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0001,1,MeanTimeseriesBaseBCC,966.7700622345228,655.2247586208825,0.5556560235740104,0.9547634343902317,0.14273942699240247,966.7700622345228,655.2247586208825,0.5556560235740104,0.9547634343902317,0.14273942699240247,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,855502619,1015.5919790058896,300.2241347833245,0.2170936717059281,1015.5919790058896,300.2241347833245,0.2170936717059281,,,,,,
MeanTimeseriesVectorBCC,joint_device_fixed_motorVar,66915.28479353996,7.213497599701363,1078.1378305000108,20800,5,133840.56958707992,133880.28312840837,32.59828113184798,18.853580745831174,0.15456675369435174,0.9834469045578967,0.1170346062129849,32.59828113184798,18.853580745831174,0.15456675369435174,0.9834469045578967,0.1170346062129849,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0001,1,MeanTimeseriesBaseBCC,966.7700622345228,655.2247586208825,0.5556560235740104,0.9547634343902317,0.14273942699240247,966.7700622345228,655.2247586208825,0.5556560235740104,0.9547634343902317,0.14273942699240247,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,489738045,,,,,,,,,,,,
MeanTimeseriesBaseBCC,joint_device_fixed_motorVar,65964.50281901941,7.032134229334403,180.62076499999966,20800,5,131939.00563803883,131978.71917936727,445.1606587630968,1000.0,0.5076277689328453,0.9901913600241538,0.14368951373517366,445.1606587630968,1000.0,0.5076277689328453,0.9901913600241538,0.14368951373517366,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0002,2,MeanTimeseriesBaseBCC,418.00614274135984,878.4254801452115,0.4987763494954947,0.9908042421463163,0.14052991069921786,418.00614274135984,878.4254801452115,0.4987763494954947,0.9908042421463163,0.14052991069921786,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,953423193,,,,,,,,,,,,
MeanTimeseriesCausalInf,joint_device_fixed_motorVar,103770.38210896112,11.995799196034618,199.16498960000172,20800,5,207550.76421792223,207590.47775925067,,,,0.9836192111592795,1.0,,,,0.9836192111592795,1.0,,,,,,,joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0002,2,MeanTimeseriesBaseBCC,418.00614274135984,878.4254801452115,0.4987763494954947,0.9908042421463163,0.14052991069921786,418.00614274135984,878.4254801452115,0.4987763494954947,0.9908042421463163,0.14052991069921786,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,1777749160,303.1859245002302,561.8612297523601,0.2507844703910192,303.1859245002302,561.8612297523601,0.2507844703910192,,,,,,
MeanTimeseriesVectorBCC,joint_device_fixed_motorVar,71291.44679136571,7.618680643985713,882.3332227999927,20800,5,142592.89358273143,142632.60712405987,260.55877780033177,444.5019931926065,0.3163071933982822,0.9945436712143833,0.11649398901450338,260.55877780033177,444.5019931926065,0.3163071933982822,0.9945436712143833,0.11649398901450338,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0002,2,MeanTimeseriesBaseBCC,418.00614274135984,878.4254801452115,0.4987763494954947,0.9908042421463163,0.14052991069921786,418.00614274135984,878.4254801452115,0.4987763494954947,0.9908042421463163,0.14052991069921786,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,368543252,,,,,,,,,,,,
MeanTimeseriesBaseBCC,joint_device_fixed_motorVar,66143.90908620937,7.119642188443511,198.05819159999373,20800,5,132297.81817241875,132337.5317137472,349.2297093264823,467.4291456155898,0.26873590867285724,0.9908126738291968,0.20239881368969082,349.2297093264823,467.4291456155898,0.26873590867285724,0.9908126738291968,0.20239881368969082,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0003,3,MeanTimeseriesBaseBCC,342.5715964206538,454.5832695955276,0.266757203904899,0.9910568921714373,0.2001910484261812,342.5715964206538,454.5832695955276,0.266757203904899,0.9910568921714373,0.2001910484261812,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,350796779,,,,,,,,,,,,
