ppid,clamp_magnitude,group,pointer,value
123183469520,2,1,Mouse,2.402801513671875
12978613609,2,1,Mouse,0.9852874755859379
163796231616,2,1,Mouse,4.8308258056640625
244418469024,2,1,Mouse,1.737261962890625
263992263004,2,1,Mouse,-2.142196273803711
266126640839,2,1,Mouse,-1.9349182128906193
272993694525,2,1,Trackpad,2.2476760864257814
283817955758,2,1,Trackpad,2.121435546875
299489942844,2,1,Mouse,-10.20343017578125
326018211431,2,1,Trackpad,3.528509521484364
353267429629,2,1,Trackpad,-1.5979095458984374
368230630876,2,1,Trackpad,1.2204010009765625
376660312758,2,1,Mouse,4.116342163085937
385475812479,2,1,Mouse,-11.85181884765625
38639956153,2,1,Trackpad,17.607513427734368
441084582125,2,1,Mouse,6.732733154296881
475080016767,2,1,Mouse,6.918844604492193
478867326164,2,1,Mouse,1.8738586425781363
479103788267,2,1,Trackpad,22.702963256835936
537187849171,2,1,Trackpad,0.904583740234375
542684882646,2,1,Mouse,1.553607177734375
557130941888,2,1,Mouse,2.5219879150390456
58796474477,2,1,Mouse,2.7324768066406224
595595653867,2,1,Mouse,0.6892951965332046
608781518181,2,1,Trackpad,2.570574188232423
628253346774,2,1,Trackpad,-3.2464782714843636
641972036799,2,1,Trackpad,2.8819732666015625
645686800824,2,1,Mouse,-8.67991027832033
666880505392,2,1,Mouse,-6.412924194335938
666909089777,2,1,Trackpad,10.83374938964845
668861049227,2,1,Mouse,-0.42213134765625
671348925214,2,1,Mouse,-1.4571777343750056
701099609956,2,1,Mouse,-5.393017578125
712406286736,2,1,Mouse,3.105377197265626
71419700048,2,1,Trackpad,-1.6628662109375003
737828750163,2,1,Mouse,-1.1227226257324219
750626990804,2,1,Trackpad,2.1487152099609377
754786406643,2,1,Mouse,-3.79285888671875
756482156459,2,1,Trackpad,2.4227111816406364
760820905212,2,1,Trackpad,-2.4169464111328125
761518668150,2,1,Mouse,-26.038577270507812
785879140021,2,1,Trackpad,0.7865097045898424
803522135131,2,1,Mouse,0.5676094055175797
822205019881,2,1,Mouse,0.912628173828125
865611255867,2,1,Trackpad,-4.060734558105469
945346587337,2,1,Mouse,7.014218139648432
968425765400,2,1,Mouse,0.2511047363281257
996553590521,2,1,Mouse,0.5961982727050781
123183469520,4,1,Mouse,-0.14983291625976544
12978613609,4,1,Mouse,-0.362884521484375
163796231616,4,1,Mouse,0.2319274902343805
244418469024,4,1,Mouse,1.467298889160156
263992263004,4,1,Mouse,-5.82200927734375
266126640839,4,1,Mouse,-0.35593261718750036
272993694525,4,1,Trackpad,2.0838882446289033
283817955758,4,1,Trackpad,4.351937866210943
299489942844,4,1,Mouse,-5.2631210327148406
326018211431,4,1,Trackpad,1.897998046875
353267429629,4,1,Trackpad,-2.2255371093749887
368230630876,4,1,Trackpad,-4.31375732421875
376660312758,4,1,Mouse,3.641247558593773
385475812479,4,1,Mouse,6.286849975585949
38639956153,4,1,Trackpad,-14.766897583007818
441084582125,4,1,Mouse,3.1903137207031245
475080016767,4,1,Mouse,0.15651550292968502
478867326164,4,1,Mouse,-0.36387329101562493
479103788267,4,1,Trackpad,11.313156127929682
537187849171,4,1,Trackpad,0.9131874084472642
542684882646,4,1,Mouse,-1.6637832641601549
557130941888,4,1,Mouse,3.2246551513671875
58796474477,4,1,Mouse,-2.9180969238281302
595595653867,4,1,Mouse,2.251593017578125
608781518181,4,1,Trackpad,5.162835693359375
628253346774,4,1,Trackpad,24.5347412109375
641972036799,4,1,Trackpad,-1.8545593261718807
645686800824,4,1,Mouse,-4.744552993774412
666880505392,4,1,Mouse,-4.434998321533203
666909089777,4,1,Trackpad,66.22005081176758
668861049227,4,1,Mouse,-2.7979339599609263
671348925214,4,1,Mouse,-0.38324508666992185
701099609956,4,1,Mouse,1.4241027832031254
712406286736,4,1,Mouse,3.21220703125
71419700048,4,1,Trackpad,-1.0955429077148438
737828750163,4,1,Mouse,10.870318603515624
750626990804,4,1,Trackpad,2.947314453125
754786406643,4,1,Mouse,3.009532165527342
756482156459,4,1,Trackpad,0.6679229736328125
760820905212,4,1,Trackpad,0.3392425537109375
761518668150,4,1,Mouse,4.170919799804688
785879140021,4,1,Trackpad,0.999859619140625
803522135131,4,1,Mouse,-4.924453735351557
822205019881,4,1,Mouse,2.4976562500000057
865611255867,4,1,Trackpad,2.063868713378909
945346587337,4,1,Mouse,5.9346988677978505
968425765400,4,1,Mouse,5.68106689453125
996553590521,4,1,Mouse,5.110968017578125
123183469520,6,1,Mouse,-2.624530029296875
12978613609,6,1,Mouse,-2.6989173889160156
163796231616,6,1,Mouse,-5.7736572265625
244418469024,6,1,Mouse,-0.993408203125
263992263004,6,1,Mouse,-0.05470275878906321
266126640839,6,1,Mouse,0.07156066894531232
272993694525,6,1,Trackpad,-1.1287811279296989
283817955758,6,1,Trackpad,0.0808837890625
299489942844,6,1,Mouse,-3.952288818359375
326018211431,6,1,Trackpad,-5.635858154296875
353267429629,6,1,Trackpad,1.380804443359375
368230630876,6,1,Trackpad,4.43704833984375
376660312758,6,1,Mouse,-0.4868499755859374
385475812479,6,1,Mouse,53.425718688964835
38639956153,6,1,Trackpad,-7.834640502929682
441084582125,6,1,Mouse,4.022868728637697
475080016767,6,1,Mouse,3.146111679077147
478867326164,6,1,Mouse,6.328717041015625
479103788267,6,1,Trackpad,-15.826654052734375
537187849171,6,1,Trackpad,-2.371630859375
542684882646,6,1,Mouse,1.6534133911132813
557130941888,6,1,Mouse,0.9274597167968747
58796474477,6,1,Mouse,5.778401184082031
595595653867,6,1,Mouse,1.3971405029296877
608781518181,6,1,Trackpad,-2.1185150146484544
628253346774,6,1,Trackpad,-4.240084838867188
641972036799,6,1,Trackpad,-9.733787536621094
645686800824,6,1,Mouse,-8.441210937500024
666880505392,6,1,Mouse,-0.453460693359375
666909089777,6,1,Trackpad,-15.020722198486334
668861049227,6,1,Mouse,0.35136718749999696
671348925214,6,1,Mouse,-0.915435791015625
701099609956,6,1,Mouse,1.1998474121093863
712406286736,6,1,Mouse,-2.240769958496094
71419700048,6,1,Trackpad,17.85169677734374
737828750163,6,1,Mouse,-4.548950195312495
750626990804,6,1,Trackpad,4.2771446228027346
754786406643,6,1,Mouse,-2.6609680175781194
756482156459,6,1,Trackpad,0.3641731262207045
760820905212,6,1,Trackpad,-3.6289436340332015
761518668150,6,1,Mouse,-2.871286392211913
785879140021,6,1,Trackpad,2.555010986328125
803522135131,6,1,Mouse,1.6772674560546872
822205019881,6,1,Mouse,1.4605598449707018
865611255867,6,1,Trackpad,-2.4644653320312497
945346587337,6,1,Mouse,36.36838073730469
968425765400,6,1,Mouse,4.993221092224121
996553590521,6,1,Mouse,8.003280639648443
123183469520,8,1,Mouse,-0.298956298828125
12978613609,8,1,Mouse,0.601995849609375
163796231616,8,1,Mouse,2.0080902099609346
244418469024,8,1,Mouse,2.008206939697265
263992263004,8,1,Mouse,0.9779937744140689
266126640839,8,1,Mouse,2.262848663330078
272993694525,8,1,Trackpad,-14.291535186767566
283817955758,8,1,Trackpad,2.991925811767578
299489942844,8,1,Mouse,-3.404936981201172
326018211431,8,1,Trackpad,-4.501730346679688
353267429629,8,1,Trackpad,-3.5289955139160156
368230630876,8,1,Trackpad,3.7079524993896484
376660312758,8,1,Mouse,-0.5703155517578182
385475812479,8,1,Mouse,20.630669403076176
38639956153,8,1,Trackpad,23.246033859252936
441084582125,8,1,Mouse,3.4403930664062505
475080016767,8,1,Mouse,-2.7826538085937496
478867326164,8,1,Mouse,4.3542224884033205
479103788267,8,1,Trackpad,-15.629971313476563
537187849171,8,1,Trackpad,-0.8355682373046875
542684882646,8,1,Mouse,-35.08253707885743
557130941888,8,1,Mouse,0.19540214538574077
58796474477,8,1,Mouse,2.6605163574218755
595595653867,8,1,Mouse,1.3432952880859261
608781518181,8,1,Trackpad,-0.0150146484375
628253346774,8,1,Trackpad,20.84480285644532
641972036799,8,1,Trackpad,-5.942498779296875
645686800824,8,1,Mouse,-14.62250213623047
666880505392,8,1,Mouse,-3.45194091796875
666909089777,8,1,Trackpad,51.27313766479492
668861049227,8,1,Mouse,-1.5580154418945327
671348925214,8,1,Mouse,-4.0673217773437615
701099609956,8,1,Mouse,-0.2916999816894531
712406286736,8,1,Mouse,-2.1447998046875
71419700048,8,1,Trackpad,-3.2176589965820312
737828750163,8,1,Mouse,2.093621826171875
750626990804,8,1,Trackpad,3.3894775390624945
754786406643,8,1,Mouse,-0.04719238281247691
756482156459,8,1,Trackpad,0.64893798828125
760820905212,8,1,Trackpad,0.499639892578125
761518668150,8,1,Mouse,9.065411376953126
785879140021,8,1,Trackpad,-0.5873352050781306
803522135131,8,1,Mouse,0.909295654296875
822205019881,8,1,Mouse,1.698773193359375
865611255867,8,1,Trackpad,1.883001708984375
945346587337,8,1,Mouse,-2.2817687988281135
968425765400,8,1,Mouse,2.3887252807617214
996553590521,8,1,Mouse,5.513551330566406
141579159069,3,2,Trackpad,-9.928131103515625
157286867732,3,2,Trackpad,2.56795654296875
18545178463,3,2,Trackpad,-7.50115966796875
244346351129,3,2,Mouse,-2.0869503021240257
281449537957,3,2,Trackpad,3.798675537109375
286533593898,3,2,Mouse,1.3475364685058593
307390059111,3,2,Mouse,-0.5685546874999943
314751828555,3,2,Trackpad,-0.6865478515624943
340447094989,3,2,Mouse,-8.523022460937488
363396258093,3,2,Mouse,-2.4159194946289047
372881010640,3,2,Mouse,-1.3755401611328124
413611575961,3,2,Trackpad,-3.2572235107421874
42404767125,3,2,Trackpad,-1.3389541625976564
424813729943,3,2,Mouse,-4.960162353515625
450325436890,3,2,Mouse,-16.748689270019526
453578034881,3,2,Mouse,1.7405517578125
455088283633,3,2,Trackpad,1.1852996826171818
47219052677,3,2,Trackpad,-8.884127807617187
485655207419,3,2,Mouse,-1.3762939453125056
490372725762,3,2,Trackpad,7.638269805908202
497830706648,3,2,Trackpad,-5.376062011718761
499781516147,3,2,Mouse,-6.098181152343756
514699809951,3,2,Mouse,3.1615570068359373
524084624601,3,2,Mouse,-1.2994354248046875
526591815054,3,2,Mouse,-3.5665527343749885
560719192726,3,2,Trackpad,-11.639736938476561
568911038571,3,2,Mouse,-1.2810920715332028
571510386420,3,2,Mouse,1.7711471557617187
607190310023,3,2,Mouse,-4.357531738281227
610091723036,3,2,Mouse,30.386865234375
616859448142,3,2,Mouse,-4.5830444335937495
662896639900,3,2,Mouse,-19.107452392578125
665972822112,3,2,Mouse,4.3759643554687555
706570674898,3,2,Trackpad,-1.5163852691650395
711049351608,3,2,Trackpad,-6.9632080078125
747682140674,3,2,Trackpad,-8.598614501953126
75254959287,3,2,Trackpad,1.333071899414057
758610083023,3,2,Trackpad,1.296319580078119
764955634018,3,2,Mouse,0.33785095214845456
781632843660,3,2,Mouse,-9.32685089111328
788534438470,3,2,Trackpad,-6.374127197265609
802470273105,3,2,Trackpad,-177.4694091796875
818668159889,3,2,Mouse,2.01654052734375
841781280934,3,2,Trackpad,3.3924362182617203
856257066596,3,2,Trackpad,8.637446022033691
881636635866,3,2,Mouse,-0.6926559448242188
928185260389,3,2,Mouse,2.060015869140625
982309131650,3,2,Trackpad,1.2415061950683595
993634722428,3,2,Trackpad,-0.7840835571289062
141579159069,5,2,Trackpad,-4.7224945068359405
157286867732,5,2,Trackpad,0.4448760986328126
18545178463,5,2,Trackpad,-1.9887161254882826
244346351129,5,2,Mouse,-7.670880126953125
281449537957,5,2,Trackpad,-3.1207324981689455
286533593898,5,2,Mouse,-4.186907958984375
307390059111,5,2,Mouse,-0.777886962890625
314751828555,5,2,Trackpad,0.13273696899414206
340447094989,5,2,Mouse,0.4133544921875
363396258093,5,2,Mouse,-14.526031494140625
372881010640,5,2,Mouse,1.091217041015625
413611575961,5,2,Trackpad,0.9164764404296879
42404767125,5,2,Trackpad,3.926198577880858
424813729943,5,2,Mouse,26.774749755859364
450325436890,5,2,Mouse,-5.356585693359375
453578034881,5,2,Mouse,1.4286788940429715
455088283633,5,2,Trackpad,-1.5650413513183608
47219052677,5,2,Trackpad,0.9306945800781247
485655207419,5,2,Mouse,2.4961170196533202
490372725762,5,2,Trackpad,0.49755249023437537
497830706648,5,2,Trackpad,-0.5976257324218747
499781516147,5,2,Mouse,0.2939231872558593
514699809951,5,2,Mouse,0.8106201171875004
524084624601,5,2,Mouse,2.6318607330322266
526591815054,5,2,Mouse,1.440432739257806
560719192726,5,2,Trackpad,-2.391876220703125
568911038571,5,2,Mouse,-5.00235595703125
571510386420,5,2,Mouse,0.24290771484375
607190310023,5,2,Mouse,1.057855224609375
610091723036,5,2,Mouse,32.244134521484376
