ppid,clamp_magnitude,group,pointer,value,phase
1721418462,135,9,Trackpad,19.69135131835938,Baseline
214060187805,135,9,Mouse,-1.5185539245605468,Baseline
230769543210,135,9,Mouse,-1.94910888671875,Baseline
247101632412,135,9,Mouse,0.5433380126953125,Baseline
290626679547,135,9,Mouse,3.9612091064453123,Baseline
290656034369,135,9,Trackpad,-14.822389984130862,Baseline
292629866395,135,9,Trackpad,2.6309951782226593,Baseline
313978052698,135,9,Trackpad,-7.44468994140625,Baseline
314581190701,135,9,Trackpad,0.9767700195312499,Baseline
333479267545,135,9,Trackpad,-3.537832641601568,Baseline
33616929547,135,9,Mouse,-2.883697509765625,Baseline
381056854035,135,9,Trackpad,-1.6660537719726562,Baseline
395056795561,135,9,Trackpad,0.9643371582031136,Baseline
408276378177,135,9,Mouse,-3.950909423828125,Baseline
418817504309,135,9,Mouse,0.770263671875,Baseline
427979396888,135,9,Mouse,-12.855049133300778,Baseline
439513294491,135,9,Trackpad,2.430645751953125,Baseline
450251729693,135,9,Mouse,1.0949005126953124,Baseline
451075873570,135,9,Mouse,2.860992431640625,Baseline
479406978469,135,9,Mouse,-0.6444610595703125,Baseline
482947064097,135,9,Mouse,-2.742803955078114,Baseline
488179284147,135,9,Mouse,0.9239013671874996,Baseline
530454018851,135,9,Mouse,-6.344588470458983,Baseline
587319151731,135,9,Trackpad,-0.027073669433590554,Baseline
606417353264,135,9,Trackpad,3.00706787109375,Baseline
611182001186,135,9,Mouse,-4.580224609375,Baseline
631329533178,135,9,Mouse,-5.751177978515625,Baseline
672964076977,135,9,Trackpad,0.669492340087892,Baseline
689640711294,135,9,Mouse,3.0696563720703125,Baseline
747798201628,135,9,Mouse,-4.602465820312489,Baseline
759023618418,135,9,Trackpad,0.4891845703125,Baseline
794821160379,135,9,Trackpad,-6.844180297851574,Baseline
821109032956,135,9,Mouse,12.211178207397461,Baseline
823657240718,135,9,Trackpad,1.0088043212890738,Baseline
828356987563,135,9,Trackpad,2.4721023559570314,Baseline
831461226101,135,9,Mouse,3.9429931640625,Baseline
836667074589,135,9,Mouse,2.8239105224609373,Baseline
836677602492,135,9,Mouse,1.5045810699462898,Baseline
842916191322,135,9,Mouse,4.887225341796875,Baseline
857258294243,135,9,Mouse,5.735882568359375,Baseline
863045202801,135,9,Mouse,-25.345973205566402,Baseline
87299142964,135,9,Mouse,-3.2091094970703127,Baseline
879490296822,135,9,Trackpad,1.14884033203125,Baseline
934420693200,135,9,Mouse,2.531622314453125,Baseline
942895571934,135,9,Mouse,-0.7842254638671875,Baseline
945312269032,135,9,Mouse,0.8992218017578125,Baseline
952949011931,135,9,Mouse,-6.3675048828125,Baseline
982415887992,135,9,Mouse,-2.453539276123047,Baseline
1721418462,135,9,Trackpad,13.84953231811524,Late adaptation
