n,median,q25,q75,bias_direction,clamp_magnitude
17,1.0346450805664062,-6.470256555080414,18.333291625976564,Incorrect,2
15,9.323072814941407,-0.7041170120239272,23.175594210624695,Incorrect,3
18,10.606029701232904,1.251532959938045,17.582342947460713,Incorrect,4
23,12.953620910644531,3.8095514297485353,25.31675767898559,Incorrect,5
22,9.84832344055176,1.1881960630416883,26.111997795104983,Incorrect,6
21,20.64057502746582,4.964984130859378,32.09949188232422,Incorrect,7
28,26.060062479972842,14.518857574462892,41.29386863708496,Incorrect,8
21,31.332957458496093,10.712776184082031,42.590660284459595,Incorrect,10
16,21.52610820829868,12.808804035186766,34.488972359895705,Incorrect,15
16,28.641204786300662,4.705500602722172,39.37547160978429,Incorrect,20
15,39.99576034545898,32.519920844170784,45.390959930419925,Incorrect,25
15,17.00325241088867,13.437870597839353,35.24020698070526,Incorrect,30
20,29.632819271087648,15.443931198120119,40.73526523113251,Incorrect,35
16,21.978265804052356,9.903453075885775,34.50537586212157,Incorrect,40
16,29.52908644005656,15.365188026428223,41.16163387298584,Incorrect,45
20,23.03669128417969,6.208818244934089,43.43312174479168,Incorrect,50
16,23.3567533493042,-3.2337958157062525,34.67017827481032,Incorrect,55
15,15.898171997070307,-7.842519521713257,20.091369724273683,Incorrect,60
21,28.33441734313965,13.866530513763427,34.43379364013672,Incorrect,65
15,16.886717987060543,-5.72481206767261,35.27647070884704,Incorrect,70
21,23.997871398925774,9.973873138427734,32.23537836074829,Incorrect,75
12,1.1912912487983696,-6.009166932106014,14.593620219826699,Incorrect,80
16,11.310255050659183,5.098311805725094,31.30730504393577,Incorrect,85
20,9.194178581237793,-1.5427147865295496,17.581029510498052,Incorrect,90
18,4.0782399058342,-5.678585624694824,10.375772857666012,Incorrect,95
22,7.057427215576171,-3.525374698638917,16.223355102539067,Incorrect,100
22,10.045619201660156,-2.420975303649908,22.175315284729002,Incorrect,105
13,5.525741577148437,-5.187031555175781,9.65265598297119,Incorrect,110
18,1.4973403930664047,-5.0781634330749466,9.479360008239748,Incorrect,115
19,12.523674774169923,-0.6431684494018559,16.88704032897949,Incorrect,120
20,-3.7318622589111277,-12.121284532546996,4.219807934761047,Incorrect,125
21,-1.8582138061523494,-7.00006408691406,9.699678039550776,Incorrect,130
