ppid,clamp_magnitude,group,pointer,value
123183469520,2,1,Mouse,9.149811935424804
12978613609,2,1,Mouse,28.333368682861323
163796231616,2,1,Mouse,5.523651432991029
244418469024,2,1,Mouse,40.999066162109386
263992263004,2,1,Mouse,-6.470256555080414
266126640839,2,1,Mouse,22.787125396728513
272993694525,2,1,Trackpad,9.009509468078612
283817955758,2,1,Trackpad,-4.659216690063478
299489942844,2,1,Mouse,131.81395530700684
326018211431,2,1,Trackpad,8.240933990478513
353267429629,2,1,Trackpad,8.493186950683594
368230630876,2,1,Trackpad,16.20968322753907
376660312758,2,1,Mouse,25.552243804931642
385475812479,2,1,Mouse,8.382887268066398
38639956153,2,1,Trackpad,24.353514099121092
441084582125,2,1,Mouse,38.35232086181641
475080016767,2,1,Mouse,22.896532440185545
478867326164,2,1,Mouse,33.507289123535166
479103788267,2,1,Trackpad,-13.900497245788575
537187849171,2,1,Trackpad,20.35315780639649
542684882646,2,1,Mouse,10.36093826293945
557130941888,2,1,Mouse,22.015826416015628
58796474477,2,1,Mouse,14.72729034423828
595595653867,2,1,Mouse,39.65102991759777
608781518181,2,1,Trackpad,33.32640914916992
628253346774,2,1,Trackpad,1.0346450805664062
641972036799,2,1,Trackpad,-0.3413888931274415
645686800824,2,1,Mouse,1.7983314514160171
666880505392,2,1,Mouse,-10.939470291137697
666909089777,2,1,Trackpad,-10.69248176962137
668861049227,2,1,Mouse,5.0222625732421875
671348925214,2,1,Mouse,13.410824584960931
701099609956,2,1,Mouse,51.22811107635498
712406286736,2,1,Mouse,15.597114562988278
71419700048,2,1,Trackpad,-8.030148315429695
737828750163,2,1,Mouse,-14.546821022033692
750626990804,2,1,Trackpad,-15.657340049743652
754786406643,2,1,Mouse,-1.246809005737306
756482156459,2,1,Trackpad,34.25990295410157
760820905212,2,1,Trackpad,16.848231506347652
761518668150,2,1,Mouse,12.311195755004874
785879140021,2,1,Trackpad,4.33033676147461
803522135131,2,1,Mouse,-4.084932804107666
822205019881,2,1,Mouse,18.333291625976564
865611255867,2,1,Trackpad,16.027921962738038
945346587337,2,1,Mouse,38.489382934570315
968425765400,2,1,Mouse,-3.268062639236446
996553590521,2,1,Mouse,16.7060284614563
123183469520,4,1,Mouse,18.93037052154541
12978613609,4,1,Mouse,50.91850296556949
163796231616,4,1,Mouse,10.27254180908202
244418469024,4,1,Mouse,37.107470703125
263992263004,4,1,Mouse,6.263851928710935
266126640839,4,1,Mouse,0.3578002929687443
272993694525,4,1,Trackpad,12.334495544433594
283817955758,4,1,Trackpad,23.043860626220702
299489942844,4,1,Mouse,-51.409197616577146
326018211431,4,1,Trackpad,11.356483745574952
353267429629,4,1,Trackpad,22.133947753906245
368230630876,4,1,Trackpad,31.880711364746098
376660312758,4,1,Mouse,26.826544189453124
385475812479,4,1,Mouse,14.108078002929679
38639956153,4,1,Trackpad,59.81659309267998
441084582125,4,1,Mouse,39.71809310913086
475080016767,4,1,Mouse,28.355031967163086
478867326164,4,1,Mouse,25.434204864501954
479103788267,4,1,Trackpad,40.406730651855476
537187849171,4,1,Trackpad,16.959657239913945
542684882646,4,1,Mouse,14.252064037322999
557130941888,4,1,Mouse,13.659027862548829
58796474477,4,1,Mouse,14.448403167724615
595595653867,4,1,Mouse,-41.467994938790795
608781518181,4,1,Trackpad,0.328147506713868
628253346774,4,1,Trackpad,-12.49229621887207
641972036799,4,1,Trackpad,16.98546524047851
645686800824,4,1,Mouse,6.459729862213135
666880505392,4,1,Mouse,-6.04010648727417
666909089777,4,1,Trackpad,17.16562705412507
668861049227,4,1,Mouse,3.932730960845947
671348925214,4,1,Mouse,27.92550277709961
701099609956,4,1,Mouse,48.5585296869278
712406286736,4,1,Mouse,17.72124824523926
71419700048,4,1,Trackpad,16.655734825134278
737828750163,4,1,Mouse,37.6970932006836
750626990804,4,1,Trackpad,66.93416271209716
754786406643,4,1,Mouse,-32.30803974866867
756482156459,4,1,Trackpad,33.638106155395505
760820905212,4,1,Trackpad,-4.35458526611329
761518668150,4,1,Mouse,10.939517593383789
785879140021,4,1,Trackpad,-2.05931396484375
803522135131,4,1,Mouse,-2.3591186523437444
822205019881,4,1,Mouse,26.956021881103517
865611255867,4,1,Trackpad,-2.9989978790283205
945346587337,4,1,Mouse,34.878542865812776
968425765400,4,1,Mouse,25.578545379638683
996553590521,4,1,Mouse,23.930404663085938
123183469520,6,1,Mouse,15.495919799804682
12978613609,6,1,Mouse,29.173000526428222
163796231616,6,1,Mouse,37.83885536342859
244418469024,6,1,Mouse,52.95613441467285
263992263004,6,1,Mouse,10.027935791015626
266126640839,6,1,Mouse,8.046007156372072
272993694525,6,1,Trackpad,33.961449432373044
283817955758,6,1,Trackpad,28.474572753906237
299489942844,6,1,Mouse,-143.13858222961426
326018211431,6,1,Trackpad,4.395988464355469
353267429629,6,1,Trackpad,37.57249450683594
368230630876,6,1,Trackpad,27.469136810302736
376660312758,6,1,Mouse,36.02248828560114
385475812479,6,1,Mouse,4.860622787475582
38639956153,6,1,Trackpad,-10.43159465789795
441084582125,6,1,Mouse,41.522725677490236
475080016767,6,1,Mouse,26.45572075843811
478867326164,6,1,Mouse,0.5200225830078179
479103788267,6,1,Trackpad,1.576961803436285
537187849171,6,1,Trackpad,22.040580749511722
542684882646,6,1,Mouse,3.4747547149658202
557130941888,6,1,Mouse,17.088366699218746
58796474477,6,1,Mouse,25.316720294952393
595595653867,6,1,Mouse,130.68209510482848
608781518181,6,1,Trackpad,-2.379388046264644
628253346774,6,1,Trackpad,15.289682006835937
641972036799,6,1,Trackpad,8.735966110229493
645686800824,6,1,Mouse,-1.1713470458984403
666880505392,6,1,Mouse,31.186300659179686
666909089777,6,1,Trackpad,-16.548629760742188
668861049227,6,1,Mouse,9.586843490600588
671348925214,6,1,Mouse,9.668711090087891
701099609956,6,1,Mouse,45.350615692138675
712406286736,6,1,Mouse,32.929473114013675
71419700048,6,1,Trackpad,-6.7001626968383805
737828750163,6,1,Mouse,-2.9708793640136717
750626990804,6,1,Trackpad,-56.16195583343506
754786406643,6,1,Mouse,34.25088195800782
756482156459,6,1,Trackpad,38.48539798259735
760820905212,6,1,Trackpad,6.343580150604248
761518668150,6,1,Mouse,6.52034330368042
785879140021,6,1,Trackpad,1.0586074829101562
803522135131,6,1,Mouse,26.66390380859375
822205019881,6,1,Mouse,35.462495774030685
865611255867,6,1,Trackpad,20.030485534667974
945346587337,6,1,Mouse,17.68515892028809
968425765400,6,1,Mouse,13.581405568122864
996553590521,6,1,Mouse,45.06910629272461
123183469520,8,1,Mouse,16.597661590576173
12978613609,8,1,Mouse,51.13325805664063
163796231616,8,1,Mouse,31.175112152099615
244418469024,8,1,Mouse,61.27809074521065
263992263004,8,1,Mouse,21.230123138427732
266126640839,8,1,Mouse,17.45595188140869
272993694525,8,1,Trackpad,25.605885314941418
283817955758,8,1,Trackpad,29.355484771728516
299489942844,8,1,Mouse,41.80972557067871
326018211431,8,1,Trackpad,5.1715221405029315
353267429629,8,1,Trackpad,20.18266358375549
368230630876,8,1,Trackpad,22.024597311019896
376660312758,8,1,Mouse,38.33292999267578
385475812479,8,1,Mouse,5.333404350280762
38639956153,8,1,Trackpad,9.356828308105468
441084582125,8,1,Mouse,25.9689523935318
475080016767,8,1,Mouse,41.67451629638673
478867326164,8,1,Mouse,34.62458049058914
479103788267,8,1,Trackpad,2.418414497375488
537187849171,8,1,Trackpad,33.74875411987305
542684882646,8,1,Mouse,45.15682525634766
557130941888,8,1,Mouse,36.90291290283203
58796474477,8,1,Mouse,16.239533996582033
595595653867,8,1,Mouse,-137.27445023357868
608781518181,8,1,Trackpad,58.08625191450119
628253346774,8,1,Trackpad,20.017096519470215
641972036799,8,1,Trackpad,2.1929977416992217
645686800824,8,1,Mouse,19.042713165283203
666880505392,8,1,Mouse,-27.479054260253907
666909089777,8,1,Trackpad,10.922878265380861
668861049227,8,1,Mouse,26.15117256641388
671348925214,8,1,Mouse,23.656068420410154
701099609956,8,1,Mouse,39.992258954048154
712406286736,8,1,Mouse,41.166986083984376
71419700048,8,1,Trackpad,20.694648361206056
737828750163,8,1,Mouse,40.7854507446289
750626990804,8,1,Trackpad,43.230799865722645
754786406643,8,1,Mouse,59.552364349365234
756482156459,8,1,Trackpad,45.250109100341795
760820905212,8,1,Trackpad,28.02224565148353
761518668150,8,1,Mouse,25.980280685424805
785879140021,8,1,Trackpad,-4.591098785400396
803522135131,8,1,Mouse,19.866297912597652
822205019881,8,1,Mouse,30.741901302337645
865611255867,8,1,Trackpad,22.06441497802735
945346587337,8,1,Mouse,3.5999710083007814
968425765400,8,1,Mouse,17.51985969543457
996553590521,8,1,Mouse,20.187698745727538
141579159069,3,2,Trackpad,7.155714416503903
157286867732,3,2,Trackpad,38.38641652166843
18545178463,3,2,Trackpad,-7.624256896972653
244346351129,3,2,Mouse,-18.272865945100786
281449537957,3,2,Trackpad,28.547634887695303
286533593898,3,2,Mouse,29.93945598602295
307390059111,3,2,Mouse,27.319750213623045
314751828555,3,2,Trackpad,46.18689575195312
340447094989,3,2,Mouse,32.34061660766602
363396258093,3,2,Mouse,-0.3696219444274901
372881010640,3,2,Mouse,-0.09420471191406535
413611575961,3,2,Trackpad,63.207750701904295
42404767125,3,2,Trackpad,14.664049530029297
424813729943,3,2,Mouse,51.18073755502701
450325436890,3,2,Mouse,-8.16288948059082
453578034881,3,2,Mouse,10.876694869995116
455088283633,3,2,Trackpad,28.93152847290039
47219052677,3,2,Trackpad,20.377285766601567
485655207419,3,2,Mouse,19.57357254028321
490372725762,3,2,Trackpad,35.14334220886231
497830706648,3,2,Trackpad,-21.70290222167969
499781516147,3,2,Mouse,37.570396423339844
514699809951,3,2,Mouse,26.570029067993165
524084624601,3,2,Mouse,40.599189567565915
526591815054,3,2,Mouse,21.25188446044922
560719192726,3,2,Trackpad,-1.3140293121337892
568911038571,3,2,Mouse,19.031438207626344
571510386420,3,2,Mouse,21.177979135513304
607190310023,3,2,Mouse,42.33007507324219
610091723036,3,2,Mouse,22.481078720092775
616859448142,3,2,Mouse,9.788949584960937
662896639900,3,2,Mouse,65.36668775081634
665972822112,3,2,Mouse,8.804197692871096
706570674898,3,2,Trackpad,16.840439128875733
711049351608,3,2,Trackpad,17.448137283325195
747682140674,3,2,Trackpad,9.323072814941407
75254959287,3,2,Trackpad,30.679055786132817
758610083023,3,2,Trackpad,6.920925140380862
764955634018,3,2,Mouse,40.1034912109375
781632843660,3,2,Mouse,-67.82333656549454
788534438470,3,2,Trackpad,4.9415807723999
802470273105,3,2,Trackpad,-95.6780758857727
818668159889,3,2,Mouse,35.7701804459095
841781280934,3,2,Trackpad,23.916703605651854
856257066596,3,2,Trackpad,62.312526455521585
881636635866,3,2,Mouse,35.487572479248044
928185260389,3,2,Mouse,16.456515502929687
982309131650,3,2,Trackpad,-1.8101491928100581
993634722428,3,2,Trackpad,39.306716591119766
141579159069,5,2,Trackpad,11.711305618286133
157286867732,5,2,Trackpad,52.430566024780276
18545178463,5,2,Trackpad,9.902198600769044
244346351129,5,2,Mouse,4.1398309707641605
281449537957,5,2,Trackpad,12.953620910644531
286533593898,5,2,Mouse,3.70426139831543
307390059111,5,2,Mouse,-5.1663116455078155
314751828555,5,2,Trackpad,52.05354881286621
340447094989,5,2,Mouse,25.35589771270752
363396258093,5,2,Mouse,26.956595420837395
372881010640,5,2,Mouse,31.576069259643553
413611575961,5,2,Trackpad,38.97545318603515
42404767125,5,2,Trackpad,21.29500880241394
424813729943,5,2,Mouse,-40.53768236637116
450325436890,5,2,Mouse,-1.2883483886718754
453578034881,5,2,Mouse,3.47927188873291
455088283633,5,2,Trackpad,36.47240419387818
