scope,parameter,mean,sd,fixed,datasetSlug,datasetLabel,dataset_slug,dataset_label,model_name,model_label
device_specific,propVar,1000.0,0.0,False,mouse,Mouse,joint_devices,Mouse + Trackpad,MeanTimeseriesBaseBCC,Base BCC
device_specific,propVar,681.3484088870764,0.0,False,trackpad,Trackpad,joint_devices,Mouse + Trackpad,MeanTimeseriesBaseBCC,Base BCC
shared,visVarSlope,0.4412303014632289,0.0,False,,Shared,joint_devices,Mouse + Trackpad,MeanTimeseriesBaseBCC,Base BCC
shared,retention,0.9781164434895512,0.0,False,,Shared,joint_devices,Mouse + Trackpad,MeanTimeseriesBaseBCC,Base BCC
shared,lr,0.1169258972038008,0.0,False,,Shared,joint_devices,Mouse + Trackpad,MeanTimeseriesBaseBCC,Base BCC
fixed,visVarInt,1.853,0.0,True,,Shared,joint_devices,Mouse + Trackpad,MeanTimeseriesBaseBCC,Base BCC
fixed_by_subset,motorVar,81.42877507299032,0.0,True,mouse,Mouse,joint_devices,Mouse + Trackpad,MeanTimeseriesBaseBCC,Base BCC
fixed_by_subset,motorVar,43.75327994968318,0.0,True,trackpad,Trackpad,joint_devices,Mouse + Trackpad,MeanTimeseriesBaseBCC,Base BCC
device_specific,senseVar,2254.340386968759,0.0,False,mouse,Mouse,joint_devices,Mouse + Trackpad,MeanTimeseriesCausalInf,Causal inference
device_specific,senseVar,1330.959952475392,0.0,False,trackpad,Trackpad,joint_devices,Mouse + Trackpad,MeanTimeseriesCausalInf,Causal inference
shared,c,0.2182676006685418,0.0,False,,Shared,joint_devices,Mouse + Trackpad,MeanTimeseriesCausalInf,Causal inference
shared,retention,0.9658693357038292,0.0,False,,Shared,joint_devices,Mouse + Trackpad,MeanTimeseriesCausalInf,Causal inference
shared,lr,1.0,0.0,False,,Shared,joint_devices,Mouse + Trackpad,MeanTimeseriesCausalInf,Causal inference
device_specific,propVar,340.2161461624544,0.0,False,mouse,Mouse,joint_devices,Mouse + Trackpad,MeanTimeseriesVectorBCC,Vector BCC
device_specific,propVar,121.82691508802334,0.0,False,trackpad,Trackpad,joint_devices,Mouse + Trackpad,MeanTimeseriesVectorBCC,Vector BCC
shared,visVarSlope,0.1867866886814298,0.0,False,,Shared,joint_devices,Mouse + Trackpad,MeanTimeseriesVectorBCC,Vector BCC
shared,retention,0.983539585463393,0.0,False,,Shared,joint_devices,Mouse + Trackpad,MeanTimeseriesVectorBCC,Vector BCC
shared,lr,0.0813221299996562,0.0,False,,Shared,joint_devices,Mouse + Trackpad,MeanTimeseriesVectorBCC,Vector BCC
fixed,visVarInt,1.853,0.0,True,,Shared,joint_devices,Mouse + Trackpad,MeanTimeseriesVectorBCC,Vector BCC
fixed_by_subset,motorVar,81.42877507299032,0.0,True,mouse,Mouse,joint_devices,Mouse + Trackpad,MeanTimeseriesVectorBCC,Vector BCC
fixed_by_subset,motorVar,43.75327994968318,0.0,True,trackpad,Trackpad,joint_devices,Mouse + Trackpad,MeanTimeseriesVectorBCC,Vector BCC
