n,mean,sd,sem,ci_low,ci_high,median,q25,q75,min,max,phase,clamp_magnitude,n_participants,measure
48,0.6058990716934206,7.043962303752056,1.0167083830582067,-1.4394543731534553,2.6512525165402963,0.9489578247070315,-1.73087921142578,2.611049842834473,-26.03857727050781,22.702963256835936,Baseline,2,48,Late adaptation mean
49,-5.31421815132608,26.127584737641335,3.732512105377334,-12.818936723650946,2.190500420998787,-1.3389541625976564,-6.098181152343756,1.3475364685058593,-177.4694091796875,30.386865234375,Baseline,3,49,Late adaptation mean
48,2.6545179843902598,10.893221600522883,1.5723011058510332,-0.508543850032376,5.817579818812895,1.2119812011718754,-1.2376029968261715,3.3288032531738336,-14.766897583007818,66.22005081176758,Baseline,4,48,Late adaptation mean
49,4.233682040778957,24.515658133114798,3.5022368761592566,-2.808037151860157,11.275401233418071,0.2939231872558593,-2.391876220703125,1.4286788940429715,-16.65217285156251,160.54094848632812,Baseline,5,49,Late adaptation mean
48,1.1048241337140396,10.89063582502904,1.5719278813066746,-2.0574868697719917,4.267135137200071,-0.2540817260742191,-2.7420096397399902,1.8967033386230467,-15.826654052734376,53.42571868896484,Baseline,6,48,Late adaptation mean
49,1.0385482501010512,9.669296115715506,1.3813280165307866,-1.738797871615888,3.8158943718179907,-1.362727355957031,-2.942255115509032,1.3947509765625,-20.09947509765625,42.51009979248048,Baseline,7,49,Late adaptation mean
48,1.07256194750468,11.509793297517174,1.6612955646596228,-2.2695336452006503,4.41465754021001,0.55081787109375,-2.4069900512695224,2.45667304992676,-35.08253707885743,51.27313766479492,Baseline,8,48,Late adaptation mean
49,-0.029633195059640887,9.823698602799752,1.4033855146856788,-2.851328889233039,2.792062499113757,0.273699951171875,-2.385597229003905,2.581854248046875,-36.505609130859376,29.37007884979248,Baseline,10,49,Late adaptation mean
50,5.2189422926902775,35.357804295706536,5.000348637072186,-4.829634505382929,15.267519090763484,0.6919677734374996,-1.4510177612304773,4.764471054077148,-106.27259826660152,172.1787902832031,Baseline,15,50,Late adaptation mean
49,3.0664008062713015,22.089620351357016,3.1556600501938594,-3.2784789738947,9.411280586437304,0.0499938964843806,-3.975628662109352,2.8954528808593745,-28.140313720703126,103.99792175292971,Baseline,20,49,Late adaptation mean
50,-6.6738096008300785,30.695978660687818,4.341066933225982,-15.397510212561581,2.0498910109014252,0.5235286712646492,-2.07262344360352,2.233037948608401,-173.57339782714843,15.34972686767578,Baseline,25,50,Late adaptation mean
49,0.5641938267921917,22.77812412560875,3.2540177322298214,-5.978447327554668,7.106834981139051,-0.0522567749023435,-3.07637939453125,4.13560791015625,-105.08679122924804,105.74017944335938,Baseline,30,49,Late adaptation mean
50,-2.9586393108367934,28.304328711698655,4.002836553795043,-11.002640527619054,5.085361905945468,1.0383148193359337,-1.9067218780517583,4.0975402832031245,-174.72974243164063,33.59651184082031,Baseline,35,50,Late adaptation mean
49,2.037864163457133,25.220584311950407,3.602940615992915,-5.206333468714282,9.282061795628548,-0.1666412353515624,-3.338406372070318,2.86482162475586,-97.62646179199218,102.80835342407228,Baseline,40,49,Late adaptation mean
50,5.166520278930664,28.57049550728653,4.040478223012419,-2.953124704195046,13.286165262056373,1.0923938751220703,-1.76370849609375,5.085581207275382,-96.72171020507812,131.22258911132812,Baseline,45,50,Late adaptation mean
49,2.1246310175681593,38.99151965680706,5.570217093829579,-9.075041078798229,13.324303113934548,0.3032958984374998,-3.618983459472656,3.405725097656261,-170.4356201171875,173.16123962402344,Baseline,50,49,Late adaptation mean
48,0.9432543121278285,8.292300401588006,1.1968904672645193,-1.4645787313651546,3.3510873556208116,0.19476089477538988,-2.6983158111572276,2.0823966979980466,-18.269123077392575,34.102996826171875,Baseline,55,48,Late adaptation mean
46,-0.7854546391445653,6.725810704805672,0.9916666870440957,-2.78277387416032,1.211864595871189,0.19837102890015215,-2.281713485717773,2.574779891967774,-24.25140461921692,11.903438949584965,Baseline,60,46,Late adaptation mean
48,-0.3704692681630462,20.743831147101055,2.9941141242007348,-6.3938499545481795,5.652911418222087,-0.47354621887206977,-2.329182434082031,2.404394435882568,-98.74821166992189,88.86304931640625,Baseline,65,48,Late adaptation mean
46,1.4546156344206447,5.332298701007808,0.7862045512788082,-0.1288816166635478,3.0381128855048374,1.2768135070800795,-1.9787721633911135,4.404460716247558,-7.403640747070296,18.13481826782226,Baseline,70,46,Late adaptation mean
48,0.36597666442394267,21.70543199728634,3.1329092516275963,-5.936623802914093,6.668577131761978,-0.008739471435545251,-2.1610208511352544,2.4494293212890623,-105.52899079322816,95.6198886871338,Baseline,75,48,Late adaptation mean
46,-1.422143185657004,7.731557724862112,1.1399559950781757,-3.7181324185189943,0.8738460472049867,0.09344558715820299,-2.8754226684570225,1.7942764282226562,-40.2365219116211,8.195968627929688,Baseline,80,46,Late adaptation mean
48,-4.273619157075881,23.498696633480925,3.3917447067363913,-11.096929395845962,2.549691081694199,-0.4983963012695256,-4.7569942474365146,1.4015983581543023,-159.75640258789062,14.362677001953124,Baseline,85,48,Late adaptation mean
46,-1.2718882078709803,7.9363682460694305,1.1701536589660868,-3.6286986579058977,1.0849222421639368,-0.7521942138671793,-4.296503448486331,2.9353960990905756,-27.190034484863283,24.013541722297667,Baseline,90,46,Late adaptation mean
49,0.5847980966373355,17.654147139876365,2.5220210199823376,-4.486065025598069,5.655661218872741,-0.5311355590820312,-4.547137451171875,2.037384033203125,-40.46851348876952,100.62541961669922,Baseline,95,49,Late adaptation mean
48,6.485023013750712,27.319755506809383,3.94326704901279,-1.4478070652039348,14.417853092705357,-0.31650161743164645,-3.0652233123779253,2.226937866210939,-6.654747390747071,160.48165283203124,Baseline,100,48,Late adaptation mean
49,4.762254006522044,17.046728769792274,2.4352469671131822,-0.13413818895471508,9.658646201998803,0.4457885742187443,-1.6138824462890624,3.727832794189453,-16.528880310058593,104.10234832763672,Baseline,105,49,Late adaptation mean
48,-0.037482472260792786,23.668502681366494,3.4162540986005814,-6.910099247610943,6.835134303089357,1.3743133544921928,-1.7668342590332187,4.116441535949707,-103.24208526611328,103.76019744873048,Baseline,110,48,Late adaptation mean
