measure,phase,clamp_magnitude,n_participants,phase_center_median,mean,mean_ci_low,mean_ci_high,sd,sd_ci_low,sd_ci_high,median,q25,q75,mean_abs_dev,mean_abs_dev_ci_low,mean_abs_dev_ci_high,median_abs_dev
Between-participant spread of mean hand angle,Baseline,2,48,0.9489578247070315,0.6058990716934206,-1.4394543731534553,2.6512525165402963,7.043962303752056,4.270011384498726,9.522749969418024,0.9489578247070315,-1.73087921142578,2.611049842834473,4.261261121431986,2.6395285151068855,5.882993727757087,2.281277465820316
Between-participant spread of mean hand angle,Late adaptation,2,48,12.861010169982904,15.11666433454181,8.2286857780969,22.00464289098672,23.721406890769813,14.240493947950402,33.823252582005985,12.861010169982904,0.6906365871429443,23.260777854919432,15.540819932489347,10.336428448082252,20.745211416896442,11.659434509277341
Between-participant spread of mean hand angle,Baseline,3,49,-1.3389541625976564,-5.31421815132608,-12.818936723650946,2.190500420998787,26.127584737641335,4.920241945910442,43.80197216079998,-1.3389541625976564,-6.098181152343756,1.3475364685058593,8.265530975497498,1.061519657113518,15.469542293881478,3.3554946899414064
Between-participant spread of mean hand angle,Late adaptation,3,49,21.177979135513304,18.070570138279272,9.82601144670792,26.315128829850625,28.703328947318074,17.7952996347201,38.49975420440175,21.177979135513304,7.155714416503903,35.487572479248044,19.29754031531665,13.180174281494894,25.414906349138406,14.257053995132441
Between-participant spread of mean hand angle,Baseline,4,48,1.2119812011718754,2.6545179843902598,-0.508543850032376,5.817579818812895,10.893221600522883,3.793071551690936,17.07086659482014,1.2119812011718754,-1.2376029968261715,3.3288032531738336,4.951699511210124,2.1104283760382643,7.792970646381983,2.3683952331543083
Between-participant spread of mean hand angle,Late adaptation,4,48,16.972561240196228,16.237081776636963,9.60626219389183,22.867901359382095,22.83578092652557,16.74130876628637,28.091341195483334,16.972561240196228,5.681071686744688,28.03288507461548,16.368806209679075,11.792495329003508,20.945117090354643,11.167706131935121
Between-participant spread of mean hand angle,Baseline,5,49,0.2939231872558593,4.233682040778957,-2.808037151860157,11.275401233418071,24.515658133114798,5.811134624682144,39.921844403075376,0.2939231872558593,-2.391876220703125,1.4286788940429715,7.8074252459467655,1.0428665335014076,14.571983958392124,1.8589645385742202
Between-participant spread of mean hand angle,Late adaptation,5,49,21.29500880241394,17.87790404792343,11.349904608213045,24.405903487633815,22.727149177490165,15.52026123174441,29.278143829142998,21.29500880241394,4.877459716796883,31.576069259643557,16.709888113791845,12.228624000119403,21.191152227464286,13.605404615402223
Between-participant spread of mean hand angle,Baseline,6,48,-0.2540817260742191,1.1048241337140396,-2.0574868697719917,4.267135137200071,10.89063582502904,4.621561938464627,15.982124864183863,-0.2540817260742191,-2.7420096397399902,1.8967033386230467,5.6325665036837265,2.907248313718806,8.357884693648646,2.531020164489745
Between-participant spread of mean hand angle,Late adaptation,6,48,16.292143249511714,15.695186953813149,5.635909201650946,25.75446470597535,34.64299701732331,16.42188993530462,49.34316178948937,16.292143249511714,4.165680027008056,33.18746719360352,20.708486425946468,12.690203561678919,28.726769290214015,14.804669427871701
