n,mean,sd,sem,ci_low,ci_high,median,q25,q75,min,max,bias_direction,clamp_magnitude,n_participants
17,7.1407755290760715,18.824898141902622,4.565708437091656,-2.538093981413722,16.819645039565863,6.116831970214847,-11.199860763549804,16.265309906005864,-13.731387329101562,57.45098533630371,Correct,135,17
14,6.2537426539829815,12.847610027894184,3.433668211661517,-1.1642465271832059,13.671731835149169,4.251904916763305,1.0446204185485959,10.695175552368164,-16.488576889038086,30.517902374267575,Correct,140,14
14,8.182749502999444,11.04084756795302,2.9507906327768945,1.8079539081642348,14.557545097834653,4.43157272338868,0.3845876932144211,15.480917167663572,-5.871027946472166,33.94703826904297,Correct,145,14
19,8.260234350907178,12.097007658123678,2.7752438895262492,2.429663296357216,14.09080540545714,9.071268463134766,-1.9697651863098142,14.701385736465454,-14.217994689941412,34.235871124267575,Correct,150,19
17,4.707645334916957,12.070888097575688,2.9276203894891517,-1.498632642869289,10.913923312703202,6.555980110168457,0.7884361743926995,11.85393524169922,-20.823110961914058,28.512142181396484,Correct,155,17
20,6.4310887527465805,15.22532121584613,3.4044853217901694,-0.6945809186402556,13.556758424133417,9.785177612304686,-3.7586427688598643,14.756550121307374,-26.939069366455083,31.752224731445303,Correct,160,20
12,8.913660605748497,17.093912591217286,4.934587518021617,-1.9472932925905155,19.77461450408751,6.743283462524413,-6.689587020874019,18.81036221981049,-11.51384687423706,43.89575424194337,Correct,165,12
24,6.509345064063866,10.690698600436757,2.1822297137463598,1.995058959039877,11.023631169087855,2.959024715423584,-0.11465778350830352,14.212662577629088,-10.989536094665532,27.764138793945307,Correct,170,24
17,-7.248284616540461,20.864715139921547,5.060436727665912,-17.975931251893293,3.4793620188123704,-3.727235412597656,-14.397181701660154,2.492816925048828,-75.5190669298172,16.553003692626945,Incorrect,135,17
18,-1.7270770973629435,18.07916060360561,4.261299020323402,-10.717632152247104,7.263477957521216,-6.151848268508913,-11.810453605651855,6.152306008338929,-32.961717224121095,43.761801147460936,Incorrect,140,18
18,-7.420591893461016,16.144077594367115,3.805195580992931,-15.448852806942398,0.6076690200203645,-8.09058771133423,-13.576148861646663,0.28871866464615203,-31.63741569519043,41.79640507698059,Incorrect,145,18
19,-9.10900369678673,16.80121775346844,3.8544637008310727,-17.20693143917177,-1.0110759544016883,-12.634178161621094,-19.426924514770512,-9.245668792724612,-27.49251708984375,34.892354965209954,Incorrect,150,19
20,-3.999358131811023,15.374696277444466,3.4378866009778792,-11.194937483985743,3.196221220363697,-5.61297647953033,-11.230798292160037,4.39840145111084,-29.2472023010254,35.330646276474,Incorrect,155,20
15,-7.331574100852013,15.417291934119419,3.980727660297496,-15.869385794884268,1.2062375931802425,-10.06779270172119,-16.20457134246826,-1.1695444107055677,-28.34917945861817,36.47678645551205,Incorrect,160,15
26,-8.721443489652414,10.779652607798058,2.114063807573602,-13.075439404330675,-4.367447574974152,-9.189474487304686,-13.846980106830596,-5.193755841255188,-29.95677947998047,19.704974657297136,Incorrect,165,26
18,-8.86498788992564,15.959295698301077,3.7616420704099967,-16.801358928309817,-0.928616851541463,-11.927686238288882,-19.609580707550048,-0.6623310089111302,-37.79997863769532,35.05112533569336,Incorrect,170,18
12,4.344180643558501,6.566640039100267,1.8956256971229568,0.17193661510250546,8.516424672014498,6.67257251739502,0.9323720932006836,7.649147987365712,-11.75710096359253,13.84953231811524,Near-zero,135,12
17,1.427384264328901,10.329861500721114,2.5053594156161476,-3.883740437289636,6.738508965947438,0.7253402709960995,-5.080730056762695,7.480430603027344,-16.125021362304686,25.60095138549805,Near-zero,140,17
13,-1.8958667314969566,8.250702556717819,2.288333163603687,-6.881716386909668,3.089982923915754,0.9999955177307144,-6.681446838378915,3.408697891235353,-21.98600616455078,8.617442321777345,Near-zero,145,13
11,1.6418075561523438,8.027409466823924,2.42035502181835,-3.7510795035612086,7.034694615865896,0.7021392822265711,-0.9008110046386744,7.91021022796631,-16.320822143554686,11.562519073486328,Near-zero,150,11
9,0.11541903283860745,7.288530183111277,2.4295100610370923,-5.487041214433052,5.717879280110267,-3.7083526611328153,-3.981410217285165,1.1406097412109288,-6.85812931060791,13.36502151489258,Near-zero,155,9
14,-8.405976317184317,10.131260509354838,2.7076932658684756,-14.255591980081944,-2.5563606542866903,-8.776077556610106,-14.446072530746463,-2.1728628158569445,-27.8916480243206,11.24548225402832,Near-zero,160,14
7,1.0955773346126085,9.835605299610563,3.7175093737940688,-8.000840408866647,10.191995078091864,1.0338850922882554,-7.0591796875,6.081892013549803,-9.381092834472652,17.97082443237305,Near-zero,165,7
7,-0.06596381493977078,7.087347284130074,2.6787654812796013,-6.62066681752091,6.488739187641368,-0.5562656402587899,-5.199495148658753,5.40870819091797,-9.47149543762207,9.147588288784029,Near-zero,170,7
