n,median,ci_low,ci_high,pointer,clamp_magnitude,n_participants
30,11.165101712832875,9.626201088309596,14.571950179943636,Mouse,2,30
26,11.083033304115997,9.721710971196721,14.477689948882366,Mouse,3,26
30,12.101602142816319,8.767623455949924,16.621920181671506,Mouse,4,30
26,14.872675213441125,10.753584398918715,24.35594365563576,Mouse,5,26
30,11.087348833229024,9.525688610958202,13.937587017462862,Mouse,6,30
26,12.123667549420176,9.166141453689093,14.280906900175477,Mouse,7,26
30,12.475349421552593,8.62105902495447,18.561951430082114,Mouse,8,30
26,12.054770216546606,10.292972180785855,19.166191359839047,Mouse,10,26
27,14.289551528172678,10.583318485713507,21.343875291297426,Mouse,15,27
23,15.241514215136338,12.932726839174116,20.270167336678426,Mouse,20,23
27,15.36454505550235,9.303195785583496,24.84513648043606,Mouse,25,27
23,14.843636276535621,11.750121323209736,18.13975097992782,Mouse,30,23
27,15.231207608397984,12.533169682110653,23.476115743993297,Mouse,35,27
23,13.580666671777577,11.334416780405263,15.340671179002342,Mouse,40,23
27,12.881608921029901,10.385011235180084,21.58533074233936,Mouse,45,27
23,14.204714289802222,11.699848373262386,17.921112393699804,Mouse,50,23
32,14.149521606230488,11.084767373644391,25.03484671525139,Mouse,55,32
31,13.492907096842405,10.666460977217492,20.254236720542725,Mouse,60,31
32,13.361789253032365,10.546436582685832,17.13124188961401,Mouse,65,32
31,12.914442988275214,10.570167339291313,18.549828288476117,Mouse,70,31
32,16.670771101703597,13.184241192535419,23.69738845089574,Mouse,75,32
31,12.636255859553222,9.550490165779257,24.23538509771817,Mouse,80,31
32,13.323847838818143,10.715412236770712,23.037368475483188,Mouse,85,32
31,11.016650809592834,9.419416214492337,14.274079768962206,Mouse,90,31
25,17.660275371575544,8.426577068839787,35.658805066628744,Mouse,95,25
30,13.872137778082664,9.926087645577333,18.57303936577784,Mouse,100,30
25,14.138313402402563,10.535000014864575,17.767725192875037,Mouse,105,25
30,12.48233504617285,10.385816298093452,15.611414532052146,Mouse,110,30
25,16.932214350583077,9.81435644819516,28.40763071009112,Mouse,115,25
30,11.953019578242266,8.622644347466201,16.966133388747924,Mouse,120,30
25,10.535312119325194,9.091458577579111,14.81436742062698,Mouse,125,25
30,12.094379017276026,7.531252091414663,16.40244541137249,Mouse,130,30
31,10.5925615854458,8.837066544014078,14.55194404142779,Mouse,135,31
27,10.479250728878894,9.620271040991026,16.330051676645336,Mouse,140,27
31,10.508685373115233,8.705609643200516,14.891746814349291,Mouse,145,31
27,15.141703312872046,9.653899293082038,22.366975475859928,Mouse,150,27
31,11.759145162748931,9.50262901312683,13.103829646572002,Mouse,155,31
27,13.410004073728926,11.404696480344045,16.44065703607673,Mouse,160,27
31,12.195579253544919,8.6434584477321,15.649722517113915,Mouse,165,31
27,11.815835254698737,9.794336152675214,16.551383342273713,Mouse,170,27
18,10.618356942268445,6.91346821160538,60.215935182270556,Trackpad,2,18
23,7.295753523973379,6.234376869805358,10.202433585462584,Trackpad,3,23
18,14.20156344495549,7.745587565719918,44.73955144636317,Trackpad,4,18
23,7.826434655154476,6.914440361412737,11.241435595008314,Trackpad,5,23
18,10.710337771483085,7.764429456408293,54.87384528486881,Trackpad,6,18
23,9.310244581424744,5.7547428879100035,16.49035994225365,Trackpad,7,23
18,9.680527786163749,6.151138836029292,18.06680954447952,Trackpad,8,18
23,9.143487533382963,6.850368998844696,14.098373753377384,Trackpad,10,23
23,13.517667677768939,8.674313515483927,31.823353022842724,Trackpad,15,23
26,10.323176872991112,8.658341978333414,14.642671959975097,Trackpad,20,26
23,10.835267032595743,8.236809768273703,25.25668345613424,Trackpad,25,23
26,7.83489930137642,6.841128059922051,13.31699202134834,Trackpad,30,26
23,16.220873186199753,8.894711075700826,32.51975632250505,Trackpad,35,23
26,9.614355861418705,7.988876346527029,12.390315911876526,Trackpad,40,26
23,11.153745816289169,9.06648707794881,14.039271496450985,Trackpad,45,23
26,9.592124590824103,7.7362931985977195,12.40625004379986,Trackpad,50,26
16,9.199314999759752,7.346837266849857,12.397326161439643,Trackpad,55,16
15,8.969221032204096,7.087512757654066,11.180524355330459,Trackpad,60,15
16,8.850143204303418,6.749688192929723,12.089672828598328,Trackpad,65,16
15,7.751658258308883,7.206709253977927,15.903009191652284,Trackpad,70,15
16,7.560266855834193,3.8821079581330706,10.006066263311578,Trackpad,75,16
15,9.997934694990905,7.721436360119008,12.877962954259432,Trackpad,80,15
16,7.970041672531549,5.786051172939119,9.64717104169987,Trackpad,85,16
15,7.527133238040311,5.145122275734196,11.288955705220193,Trackpad,90,15
24,11.77997073773167,9.4409682042846,17.6404862454081,Trackpad,95,24
18,8.074368486257185,6.627841060294754,13.981024956727275,Trackpad,100,18
24,8.175726412923932,7.035817157204325,12.173984201200874,Trackpad,105,24
18,7.0045161602216215,5.991460963864839,9.576277117956067,Trackpad,110,18
24,7.674888706025451,6.336431758739026,9.888142585803884,Trackpad,115,24
18,9.492283955980906,6.917145249330584,11.590601634752755,Trackpad,120,18
24,8.318159516633713,6.547925529991166,10.213801036895411,Trackpad,125,24
18,9.021071406028401,6.573414461281155,11.798996789437226,Trackpad,130,18
17,7.945967264732257,6.126954468746763,9.374796797398472,Trackpad,135,17
22,8.23500395997438,6.827646230285001,10.891004636586128,Trackpad,140,22
17,7.992142111637179,7.288163436998142,12.73272635487134,Trackpad,145,17
22,8.772863654591063,6.586978236649228,9.817872257757998,Trackpad,150,22
17,9.120778808645811,7.030233258158778,11.733318903878775,Trackpad,155,17
22,8.323858028454222,6.36255124613132,9.722198063016199,Trackpad,160,22
17,11.477716565039167,8.257803378864027,15.3875732926889,Trackpad,165,17
22,8.061383555578596,5.85446650060157,10.941345680147498,Trackpad,170,22
