index,ppid,clamp_magnitude,group,pointer,value,n_trials
24,123183469520,2,1,Mouse,10.294673290646207,10
28,12978613609,2,1,Mouse,37.52971456100432,10
100,163796231616,2,1,Mouse,32.62034016338342,10
244,244418469024,2,1,Mouse,17.356592402014414,10
296,263992263004,2,1,Mouse,20.38440638932002,10
304,266126640839,2,1,Mouse,8.455093037420795,10
364,299489942844,2,1,Mouse,10.379571375520472,10
524,376660312758,2,1,Mouse,4.913455570511203,10
544,385475812479,2,1,Mouse,9.207661332862793,10
652,441084582125,2,1,Mouse,11.950632050145279,10
720,475080016767,2,1,Mouse,9.19708518257009,10
736,478867326164,2,1,Mouse,10.044740843756399,10
920,542684882646,2,1,Mouse,38.29934281214171,10
960,557130941888,2,1,Mouse,7.79925076955228,10
1020,58796474477,2,1,Mouse,10.18198744825206,10
1044,595595653867,2,1,Mouse,13.419952189107192,10
1148,645686800824,2,1,Mouse,18.66635549223053,10
1196,666880505392,2,1,Mouse,6.0697378007575535,10
1208,668861049227,2,1,Mouse,14.511038238102982,10
1216,671348925214,2,1,Mouse,4.817359883912924,10
1276,701099609956,2,1,Mouse,12.60378404463143,10
1308,712406286736,2,1,Mouse,22.91665452253768,10
1360,737828750163,2,1,Mouse,10.233255426042783,10
1412,754786406643,2,1,Mouse,12.663941418648728,10
1440,761518668150,2,1,Mouse,14.624744686329285,10
1520,803522135131,2,1,Mouse,6.622490651698552,10
1568,822205019881,2,1,Mouse,4.950307195622434,10
1860,945346587337,2,1,Mouse,17.30997256811628,10
1888,968425765400,2,1,Mouse,15.721240760196217,10
1924,996553590521,2,1,Mouse,6.736713306253806,10
240,244346351129,3,2,Mouse,30.182933817584882,10
336,286533593898,3,2,Mouse,33.44840660032613,10
376,307390059111,3,2,Mouse,13.871874293579861,10
444,340447094989,3,2,Mouse,7.281472803244991,10
484,363396258093,3,2,Mouse,10.246750508425805,10
508,372881010640,3,2,Mouse,5.778279717050289,10
620,424813729943,3,2,Mouse,10.445277680266338,10
668,450325436890,3,2,Mouse,20.27689954532012,10
676,453578034881,3,2,Mouse,80.44467482095925,10
764,485655207419,3,2,Mouse,13.36340929583478,10
812,499781516147,3,2,Mouse,11.458657526576877,10
836,514699809951,3,2,Mouse,4.99695233773225,10
864,524084624601,3,2,Mouse,10.707409081655118,10
876,526591815054,3,2,Mouse,7.962812963657027,10
988,568911038571,3,2,Mouse,9.790778839942728,10
992,571510386420,3,2,Mouse,7.644825942628211,10
1056,607190310023,3,2,Mouse,9.652643102450712,10
1072,610091723036,3,2,Mouse,12.682550053363608,10
1080,616859448142,3,2,Mouse,36.20721203145144,10
1184,662896639900,3,2,Mouse,14.755913012180443,10
1192,665972822112,3,2,Mouse,8.634832916984692,10
1444,764955634018,3,2,Mouse,14.477689948882366,10
1468,781632843660,3,2,Mouse,49.68535798514162,10
1556,818668159889,3,2,Mouse,10.402034345375663,10
1724,881636635866,3,2,Mouse,17.20715637111445,10
1816,928185260389,3,2,Mouse,7.8325429820218355,10
25,123183469520,4,1,Mouse,7.234997902620346,10
29,12978613609,4,1,Mouse,13.120457371968449,10
101,163796231616,4,1,Mouse,62.626953436279564,10
245,244418469024,4,1,Mouse,17.200342325168176,10
297,263992263004,4,1,Mouse,31.704727977973487,10
305,266126640839,4,1,Mouse,6.8637337771677895,10
