n,mean,sd,sem,ci_low,ci_high,median,q25,q75,min,max,clamp_magnitude,n_participants
48,15.11666433454181,23.721406890769813,3.423890163485649,8.2286857780969,22.00464289098672,12.861010169982904,0.6906365871429443,23.260777854919432,-15.657340049743652,131.81395530700684,2,48
49,18.070570138279272,28.703328947318074,4.100475563902582,9.82601144670792,26.315128829850625,21.177979135513304,7.155714416503903,35.487572479248044,-95.6780758857727,65.36668775081634,3,49
48,16.237081776636963,22.83578092652557,3.296061066271215,9.60626219389183,22.867901359382095,16.972561240196228,5.681071686744688,28.03288507461548,-51.409197616577146,66.93416271209716,4,48
49,17.87790404792343,22.727149177490165,3.2467355967843092,11.349904608213045,24.405903487633815,21.29500880241394,4.877459716796883,31.576069259643557,-65.7925222247839,64.30029239654542,5,49
48,15.695186953813149,34.64299701732331,5.000285913371754,5.635909201650946,25.75446470597535,16.292143249511714,4.165680027008056,33.18746719360352,-143.13858222961426,130.68209510482848,6,48
49,19.96995167294327,21.970309757911835,3.1386156797016906,13.659341896510648,26.280561449375895,22.837332534790043,5.369483184814444,33.66574666798114,-52.73483772277832,56.34280853271484,7,49
48,22.54494982529432,29.228809495771287,4.218815257618961,14.057788251600979,31.032111398987663,24.630976867675788,17.241379308700562,38.747762233018875,-137.27445023357868,61.27809074521065,8,48
49,27.499537829568194,21.456463722542594,3.0652091032203708,21.336521867247114,33.66255379188927,31.332957458496093,10.682124090194703,42.11959284543991,-23.83285651206969,81.47478513717651,10,49
50,28.984733754349982,26.938527058153273,3.809683031599495,21.32888907273619,36.640578435963775,26.83482704162597,14.46498665288091,43.30231889039278,-34.09551830291748,132.2570373535156,15,50
49,27.88885095038471,20.34397420687049,2.9062820295529272,22.0453792863069,33.73232261446252,31.752529275417327,13.233784484863282,41.08287048339844,-23.950027465820312,72.09441776275635,20,49
50,29.881638712866437,24.927725565767904,3.52531275742235,22.797257492414687,36.96601993331819,32.519920844170784,12.740776538848879,44.67684866599738,-28.555058670043945,108.03876056671145,25,50
49,29.002006798110006,26.42709123470721,3.7752987478153157,21.411259915337293,36.59275368088272,26.395584106445312,14.238052368164055,40.12005157470704,-9.906838989257812,164.64988327026367,30,49
50,28.700760029727043,29.220898384548445,4.1324590800154475,20.39627259407812,37.005247465375966,30.255204296112062,16.040835863351823,43.54437789916992,-52.9223137140274,132.6511001586914,35,50
49,29.77253652258234,26.08639954469358,3.7266285063847975,22.279647718891788,37.26542532627289,31.905854797363283,14.819193840026855,40.44815673828125,-12.18921966552734,146.65048484802247,40,49
50,26.287317375534702,31.632374554144565,4.473493310453683,17.297495995383677,35.277138755685726,31.814576094597573,12.312332653999327,45.87219324111938,-122.32219161987304,78.62461547851562,45,50
49,27.873944143005684,26.58193514006252,3.797419305723217,20.238720897645305,35.509167388366066,24.72285327911377,9.807823181152344,44.57618255615235,-22.21938524246216,146.5557746887207,50,49
48,24.220463027758523,29.046570601466044,4.1925113389479725,15.786218112925463,32.654707942591585,25.044040870666503,4.283727002143859,35.51083814054728,-40.11248626708984,134.77950057983398,55,48
46,18.197274300099718,28.81575087220087,4.248650676669479,9.64005257404882,26.754496026150616,19.79564099311829,6.682955288887024,30.87694898992777,-105.39190716445448,89.26419429779052,60,46
48,22.096271154587157,35.149630480104065,5.073412154900989,11.889882379723804,32.30265992945051,23.18702278137207,13.18272128105164,37.97137804031372,-125.48857192993164,145.21856307983398,65,48
46,21.27480950224335,20.4102104471911,3.009321353866974,15.213725165188382,27.33589383929832,20.177906036376953,12.303577160835266,36.68810498714447,-15.210623741149902,68.05376358032227,70,46
48,25.672936323250173,26.902127089560828,3.882987579232867,17.86137289579795,33.4844997507024,23.921697998046874,7.247739923000335,35.0259467124939,-20.96277160644531,125.7599391937256,75,48
46,15.601275223396398,20.404311806687154,3.0084516467724174,9.54194256634791,21.660607880444886,17.980152159929276,1.4544604301452635,32.54757537841797,-30.27266082763672,53.24176073074341,80,46
48,22.555828459669527,26.22085216342856,3.7846540137342153,14.942086649790438,30.169570269548615,19.23172960281372,8.87949371337891,34.30235500335693,-30.01072311401368,147.58065071105958,85,48
46,18.557972720783688,18.232947530819025,2.6883014504135585,13.143455659172446,23.97248978239493,17.16636352539063,6.426421737670899,26.342240169644356,-19.366972351074217,76.70816872715949,90,46
49,15.27289024698643,28.948524652467917,4.135503521781131,6.957903125815868,23.58787736815699,10.32991371154785,3.263709449768065,26.250274658203125,-31.74099998474121,156.3905090942979,95,49
48,15.262845617963466,24.785572561413247,3.577489247587735,8.065865561158603,22.45982567476833,16.943542480468757,2.5451423883438093,24.043478202819827,-42.63633880615235,144.2484893798828,100,48
49,16.4365763503678,25.642879581368668,3.6632685116240955,9.071081354386006,23.802071346349596,12.90488586425781,4.9092727661132844,23.55594711303711,-21.426975631713866,156.27158813476564,105,49
48,14.748266404370469,24.27018855421314,3.5030999737644826,7.70093826350278,21.795594545238156,14.597502040863038,4.6672416687011715,21.261684465408326,-29.485080003738403,145.57626571655274,110,48
49,10.087045698749776,27.573897362838643,3.939128194691235,2.166897635765987,18.007193761733564,6.501153564453119,-0.6425300598144537,18.345634460449222,-83.9405927658081,149.2871871948242,115,49
48,14.570824900642037,26.492687930982104,3.823890127127317,6.87815021184875,22.263499589435327,13.223582229018216,6.2128031253814635,21.631392526626588,-44.76810073852539,156.22413597106933,120,48
49,6.338230535828945,28.57172902468093,4.081675574954419,-1.8685282445202809,14.544989316178171,3.006770515441894,-3.8573448181152417,15.874029159545897,-82.89096164703369,139.91265869140625,125,49
48,6.313610193754236,26.66498270036524,3.8487587349981465,-1.4290936810128567,14.05631406852133,-1.055142402648928,-7.3981974363327,14.550564861297607,-33.382560348510744,153.89329147338867,130,48
48,1.5337251209964353,18.026380490454457,2.6018839071696247,-3.700590147078195,6.768040389071066,2.120738124847412,-8.937778544425967,11.708657109737397,-75.5190669298172,57.45098533630371,135,48
49,1.6475620795269408,14.37046425289591,2.0529234646994157,-2.480117193340067,5.775241352393948,2.0644275665283205,-8.170251464843755,7.480430603027344,-32.961717224121095,43.761801147460936,140,49
48,-0.7193595483899108,13.760704360185953,1.9861865916480543,-4.71505158263514,3.276332485855318,0.19712638854980902,-7.862558221817018,4.1480938911438,-31.63741569519043,41.79640507698059,145,48
49,0.03945439889722942,15.317476268260666,2.1882108954658093,-4.360238484538372,4.43914728233283,0.4445709228515567,-11.76309814453125,10.66554946899414,-27.49251708984375,34.892354965209954,150,49
48,-2.044494443107397,21.512628400765216,3.1050804495395465,-8.291110581836335,4.202121695621541,-1.0335952281951906,-7.568987798690797,9.136556495353577,-117.00888900756836,35.330646276474,155,48
49,-2.0211327530291627,15.471068333458396,2.210152619065485,-6.464942428576455,2.42267692251813,-3.48161315917969,-11.905005073547365,8.165474319458006,-28.34917945861817,36.47678645551205,160,49
