n,mean,sd,sem,ci_low,ci_high,median,q25,q75,min,max,pointer,clamp_magnitude,n_participants
30,19.54645093550285,26.896082931723594,4.910530443411564,9.50328851404247,29.58961335696323,15.16220245361328,5.147609788179398,27.638087463378902,-14.546821022033692,131.81395530700684,Mouse,2,30
26,19.972983632637902,25.789769785456304,5.0577899764272045,9.556270184456885,30.38969708081892,21.866481590270993,10.06088590621948,35.69952845424414,-67.82333656549454,65.36668775081634,Mouse,3,26
30,14.388179836471876,23.83569176570266,4.351782017938496,5.4877862572839895,23.288573415659762,16.084825706481936,6.3128214120864845,27.683132553100588,-51.409197616577146,50.91850296556949,Mouse,4,30
26,12.921060158025758,26.633962846124724,5.223349856795969,2.1633697534360454,23.67875056261547,18.772841072082514,3.5355192661285404,28.421898952126504,-65.7925222247839,64.30029239654542,Mouse,5,26
30,20.005193366321425,39.7254651818535,7.252844462495743,5.171460881847095,34.83892585079575,21.500939607620243,8.431216239929201,35.15959232002497,-143.13858222961426,130.68209510482848,Mouse,6,30
26,19.835442387713837,18.80531555778889,3.688025807247521,12.239811054138467,27.431073721289206,23.546094751358034,5.066108894348145,32.865028469264516,-26.021645855903625,48.37378742694855,Mouse,7,26
30,22.94676993181308,35.01136991791113,6.392172357732575,9.873309548157124,36.020230315469036,26.065726625919343,17.900573062896726,40.587152796983716,-137.27445023357868,61.27809074521065,Mouse,8,30
26,23.83131661632887,21.41799274984346,4.200413960516946,15.180402127121054,32.482231105536684,30.058760833740234,6.360837554931638,40.842852535843846,-23.83285651206969,61.24325408935547,Mouse,10,26
27,31.364450948682162,20.310831007219118,3.9088212498276516,23.329753799268595,39.39914809809573,32.27872686386108,16.475391254530237,45.77572309672833,-4.299386596679687,73.3784775108099,Mouse,15,27
23,40.36186820611017,11.680484928266363,2.435549470719954,35.31084775323615,45.41288865898418,37.64746589660645,34.393315124511716,43.699709337949756,25.42258605957032,72.09441776275635,Mouse,20,23
27,35.39225030963313,17.668503721931213,3.4003051266782967,28.402823021377603,42.381677597888654,39.99576034545898,27.230194389820106,46.26784248352051,-13.969685500860214,67.0330753326416,Mouse,25,27
23,41.85659867416942,30.539655189384817,6.367958307319678,28.650261443083437,55.0629359052554,35.77357743754983,26.73056106567383,43.07310726642609,10.12325918674469,164.64988327026367,Mouse,30,23
27,27.887869232992006,28.73593947564197,5.5302341305595615,16.52031017503925,39.255428290944764,32.62588405609131,17.9497935295105,47.62926980108023,-52.9223137140274,72.53050918579102,Mouse,35,27
23,37.54948564594711,28.698932221459952,5.984141036221425,25.139136716388208,49.95983457550601,36.46610895395279,25.436544036865236,42.41459642648698,-6.257079315185544,146.65048484802247,Mouse,40,23
27,32.744191757330064,23.530364027617424,4.528420668491602,23.435889762686735,42.052493751973394,35.96046331822872,15.881302404403687,46.55643169847317,-25.999265080690385,78.62461547851562,Mouse,45,27
23,38.591855535035336,29.662830493505304,6.185127719627589,25.76468573575304,51.41902533431763,42.41977996826173,23.912862110137944,46.72551205952962,-0.1497650146484379,146.5557746887207,Mouse,50,23
32,28.009913520817644,33.4457391712812,5.9124272424523685,15.951438658995599,40.06838838263969,29.298171520233154,4.9501558780670125,45.86537146568298,-40.11248626708984,134.77950057983398,Mouse,55,32
