n,median,ci_low,ci_high,pointer,clamp_magnitude,n_participants
30,9.750136511921628,7.952701726265201,11.642357587908096,Mouse,2,30
26,15.573738744387418,9.95104788907106,35.2139660595322,Mouse,3,26
30,10.780546413880192,7.820131900894337,14.691126644747843,Mouse,4,30
26,16.718129804662425,12.437807935260825,21.83276360063544,Mouse,5,26
30,10.208234682840887,7.399644930246128,17.526444119402825,Mouse,6,30
26,12.510388964219247,8.716287330075083,26.138654951363662,Mouse,7,26
30,9.815601013895186,7.574837882244888,13.138080650440967,Mouse,8,30
26,14.689294462890512,10.09517614691162,31.751600240958012,Mouse,10,26
27,11.609628936595582,7.460058469322562,28.692646056374453,Mouse,15,27
23,13.10686202090611,8.325177510768428,29.84767343342964,Mouse,20,23
27,15.94000264807541,10.533367340938524,38.90565462985721,Mouse,25,27
23,12.34610274040616,8.127877277857982,19.948766602426485,Mouse,30,23
27,16.206650714546,9.119497848233578,40.216691889928605,Mouse,35,27
23,17.801189969572114,6.705855344790544,35.02337839914238,Mouse,40,23
27,14.642156094088438,7.52451936659047,35.514748810149904,Mouse,45,27
23,19.195828541486488,8.20572667972025,35.35031416933064,Mouse,50,23
32,12.403207602459283,7.142269267088073,16.081781764159857,Mouse,55,32
31,13.035494717993105,9.896707075570172,22.5155316433542,Mouse,60,31
32,8.939641693841452,7.273639503091988,28.007258770015607,Mouse,65,32
31,8.924238885020912,7.523277926405464,14.03786296100171,Mouse,70,31
32,14.616729476922714,8.522242851187796,21.90997967483216,Mouse,75,32
31,6.871327706982361,6.514795309119159,14.19071639487796,Mouse,80,31
32,11.356170303873906,7.510835777278778,16.094297116518636,Mouse,85,32
31,8.315842512308375,6.015993504610685,12.552115947050792,Mouse,90,31
25,10.052849632327678,6.463573872897835,11.11733757558263,Mouse,95,25
30,9.40020339277379,7.379483677006495,11.303367730314495,Mouse,100,30
25,11.846193519190436,8.483955450544208,14.891088161002706,Mouse,105,25
30,9.151594457815433,6.577831833390642,12.354380050086046,Mouse,110,30
25,8.583405753907838,6.923949521818447,11.809015117234992,Mouse,115,25
30,8.146577408391035,6.556162434970352,10.193607663312854,Mouse,120,30
25,9.059974435484436,8.366689769835128,10.988745060792477,Mouse,125,25
30,9.877273208533772,7.467669975938112,12.596508228763653,Mouse,130,30
31,9.567754701235792,7.4460427912019505,11.689785225491082,Mouse,135,31
27,9.595498902985373,6.737551312657817,13.476548352737757,Mouse,140,27
31,8.837455696266291,7.59493064067443,12.874254432057448,Mouse,145,31
27,8.587350769135153,7.7658916139543965,13.17577229143711,Mouse,150,27
31,8.97267612077137,7.117339631405057,12.975374521750092,Mouse,155,31
27,12.341559093591568,8.314901096881247,21.423274791949872,Mouse,160,27
31,10.118745349966874,7.714010363197993,15.438974261090344,Mouse,165,31
27,16.68621156087326,7.719216742711554,26.58242187463216,Mouse,170,27
18,8.372099092490547,6.741837600330324,11.31062753282553,Trackpad,2,18
