n,mean,sd,sem,ci_low,ci_high,median,q25,q75,min,max,clamp_magnitude,n_participants
48,-1.2509062290191653,3.546780758596421,0.5119337064330572,-2.280784006594387,-0.22102845144394379,-0.6671821594238281,-1.8677382469177246,0.5604703903198243,-15.18841552734375,5.502454376220703,2,48
49,0.09673576424490267,3.786702767800635,0.5409575382572336,-0.9909322645739314,1.1844037930637368,-0.7614288330078125,-1.805079650878903,0.2931488037109375,-5.38494873046875,17.159448242187505,3,49
48,0.09661302765210533,4.702834739820192,0.6787957257473779,-1.2689478343804936,1.4621738896847043,-0.49072551727294933,-2.180139541625973,1.1276726722717263,-11.482220458984376,17.035519886016846,4,48
49,-0.8327312409356453,3.102033715229091,0.44314767360415586,-1.7237393562444794,0.058276874373188736,-1.0876129150390568,-1.8147308349609372,0.0936706542968778,-15.55077934265137,8.746953964233398,5,49
48,1.1492062613368035,6.936189760380159,1.0011527563264528,-0.8648532989973454,3.1632658216709526,-0.40552840232849097,-1.7160823822021483,0.4902458190917969,-12.768997979164125,29.61403603553772,6,48
49,-1.2830905707167464,3.4430759188682787,0.4918679884097541,-2.272057444376111,-0.29412369705738195,-1.364901733398436,-2.485936546325689,-0.007781982421875,-16.722716522216796,9.529590606689451,7,49
48,-2.057902483455837,5.952769478799667,0.859208265252194,-3.7864065603951462,-0.32939840651652785,-1.6186052322387696,-2.967634963989258,-0.17540531158447262,-22.453991699218744,19.649280548095703,8,48
49,-0.6135353084121429,3.8484118752774523,0.549773125039636,-1.718928262424528,0.49185764560024214,-0.8697998046875,-2.142842102050783,-0.094567489624023,-8.751937103271484,16.540452766418458,10,49
50,-1.3360768373012544,4.732821401651835,0.6693220214505666,-2.6811297972735986,0.008976122671089826,-0.9225250244140669,-2.319180488586426,-0.0644664764404268,-19.800823974609376,9.429986572265625,15,50
49,-0.7086146854218986,3.163355633693944,0.45190794767056347,-1.6172365122549661,0.20000714141116882,-0.8214599609375057,-2.6377418518066413,0.9893844604492176,-8.3128173828125,7.890391540527347,20,49
50,-1.97315519618988,6.00681313782437,0.8494916606152111,-3.680272601510004,-0.26603779086975576,-0.9854782104492184,-2.7932720184326176,-0.005158996582030104,-35.558912658691405,16.047677612304696,25,50
49,-0.891224514708227,3.499574177731038,0.4999391682472911,-1.8964195830839792,0.11397055366752529,-0.9911010742187528,-2.465065002441408,0.0074264526367159,-11.713501739501954,14.458246421813964,30,49
50,-0.7016327513456345,4.8677896019823015,0.6884094073902101,-2.085043249443815,0.681777746752546,-1.0507606506347644,-2.3826546669006348,0.23852310180664274,-18.89061589241028,21.543626403808595,35,50
49,-0.9887132916827591,3.860150621009914,0.551450088715702,-2.097478007149516,0.12005142378399747,-1.0707229614257812,-2.57744140625,0.0963600158691406,-15.228614807128906,13.357405090332032,40,49
50,-1.3368329591751094,6.467277064466098,0.9146110936192413,-3.1748127645160293,0.5011468461658104,-1.422430384159088,-2.706293869018554,0.17473106384277343,-19.022421979904173,17.812073516845704,45,50
49,-1.0440961204013048,3.6429335864650105,0.5204190837807158,-2.090468818781769,0.0022765779791593665,-0.8364013671875057,-2.8186930656433105,0.4341020584106445,-15.510962677001952,9.1785493850708,50,49
48,-1.3981535183886689,6.4463397642394344,0.9304489995428566,-3.2699754667283614,0.4736684299510239,-1.5225259780883789,-3.0264763742685314,-0.02500905990600577,-32.87395324707031,18.25998687744141,55,48
46,-0.912282032033672,4.027525778352213,0.5938262792245249,-2.1083095534262912,0.2837454893589473,-1.0197658538818346,-2.2232597351074235,0.259274673461914,-15.98114471435547,17.430175495147704,60,46
48,-0.8820092340310417,4.585961384674095,0.6619265099837045,-2.21363361127701,0.4496151432149267,-1.3719438552856438,-2.447268676757809,0.39079437255858873,-14.967166137695312,21.98818359375,65,48
46,-1.2751524044119793,2.592374294423303,0.382224737055443,-2.0449925426294375,-0.5053122661945212,-1.3078797340393065,-2.2515933990478505,-0.24687290191650385,-6.352482604980466,11.34436626434326,70,46
48,-2.9430687298377354,7.1688483078910705,1.0347341250851256,-5.024685290210206,-0.8614521694652653,-1.5800315856933582,-2.8617774963378895,-0.319021224975586,-31.29759750366211,15.515018463134766,75,48
46,-1.558814293664435,3.164572326780101,0.46659073425411246,-2.498576272746045,-0.6190523145828247,-0.7957290649414064,-2.13860664367676,0.03937673568725593,-15.878160667419433,2.1600082397460936,80,46
48,-0.4852057317892709,4.599570345291317,0.6638907942526405,-1.82078173927954,0.8503702757009983,-0.6415724754333492,-1.9904064178466796,0.1204544067382812,-18.851530456542967,18.113697576522828,85,48
46,-0.7331738078075906,2.2077084518635446,0.32550885276246055,-1.3887822912671788,-0.07756532434800234,-0.5273773193359375,-1.8828650474548334,0.5480743408203125,-6.52685317993164,4.612504577636718,90,46
49,-0.48278179339000155,2.3788395788994583,0.3398342255570655,-1.1660642991253505,0.20050071234534733,-0.7499481201171875,-1.434857177734375,0.2533370971679687,-5.724328613281247,8.934809303283691,95,49
48,-0.5738178412119552,2.449833684735844,0.3536030343380131,-1.2851753911675137,0.1375397087436031,-0.7957260131835966,-1.7109060287475586,0.5647841453552226,-10.213714599609377,7.160445976257324,100,48
49,-0.5035858154296876,1.7749330190950718,0.25356185987072455,-1.0134061040936113,0.006234473234236093,-0.988633728027341,-1.5442819595336914,0.1162628173828125,-2.929127883911133,5.860692977905274,105,49
48,-1.2657582084337868,3.5142258634109416,0.5072348120583631,-2.286183029825699,-0.24533338704187457,-0.7156867980957031,-1.5818604469299318,0.1871704101562507,-19.11265563964844,3.013873672485352,110,48
49,-0.1927793308180206,1.7803748344226444,0.25433926206037777,-0.7041626913451142,0.3186040297090731,-0.232769775390625,-1.3474609375,0.4600883483886726,-3.6858032226562503,6.835011291503906,115,49
48,-0.8861825903256734,2.0741692109692247,0.2993805380744789,-1.4884585477923191,-0.2839066328590276,-0.5888153076171871,-1.2487617015838601,0.13966064453125007,-8.596141052246093,2.3026914596557617,120,48
49,-0.2034545674615973,1.852864347309473,0.26469490675849616,-0.7356593471563349,0.32875021223314027,-0.290765380859375,-1.3213592529296876,1.0573089599609375,-4.802656555175778,4.974526214599609,125,49
48,-0.8324434518814092,6.788627903729687,0.9798540369116349,-2.803655515478206,1.1387686117153877,-0.41647262573242044,-1.3614805221557615,1.0416956901550294,-34.38634643554688,24.10638904571533,130,48
48,0.05846695726116465,3.2714513817579305,0.4721933339746786,-0.8914635030088259,1.0083974175311552,0.17797393798828115,-0.8080554008483891,1.3055317878723145,-11.251805114746098,9.53185806274414,135,48
49,-0.8027774460461677,3.9303075795586633,0.5614725113655233,-1.9316935928482555,0.3261387007559201,-0.0277420043945312,-1.4285614013671877,0.613648605346679,-25.156549072265623,3.879432678222656,140,49
48,0.2217228571573893,3.04182356470589,0.4390494134775732,-0.6615306354647361,1.1049763497795146,-0.03998870849609375,-0.7690815925598122,0.6317542076110835,-8.535610580444336,16.43571777343751,145,48
49,0.6515374514521385,4.202965620695518,0.6004236600993597,-0.5556952288435916,1.8587701317478684,-0.0966583251953125,-1.0336257934570312,1.5515747070312504,-5.34144287109375,22.28355026245117,150,49
48,0.08828465143839508,3.2513646454422394,0.4692940633199273,-0.8558132285951646,1.0323825314719548,0.07932891845703115,-1.2291537284851073,1.285121154785156,-15.275392150878906,10.397053527832032,155,48
49,0.21484947399217272,2.4212210724582706,0.3458887246368958,-0.4806064180330869,0.9103053660174323,0.0454303741455085,-0.78929443359375,0.8584014892578125,-4.527230834960937,11.23852195739746,160,49
48,0.6548934261004132,3.229067249777744,0.46607571147264626,-0.2827299651345341,1.5925168173353605,0.5299438476562515,-0.48715248107910014,1.2490871429443358,-3.910546875,17.676160049438476,165,48
49,-0.0597040526720942,1.7189409401427918,0.24556299144897026,-0.5534415384655759,0.4340334331213874,-0.0197704315185546,-1.3707687377929694,1.2300506591796876,-3.79436149597168,4.044461059570312,170,49
