ppid,clamp_magnitude,group,value
12978613609,2,1,-2.986073303222656
38639956153,2,1,1.9826934814453154
58796474477,2,1,-2.938703918457031
71419700048,2,1,0.5648437499999999
123183469520,2,1,1.5505386352539063
163796231616,2,1,-1.152758026123047
244418469024,2,1,-0.24375610351562535
263992263004,2,1,-1.855844497680664
266126640839,2,1,-1.4454284667968722
272993694525,2,1,0.5609916687011719
283817955758,2,1,-0.21830825805664061
299489942844,2,1,-14.61950225830078
326018211431,2,1,-0.5285247802734375
353267429629,2,1,-0.1355682373046875
368230630876,2,1,-1.1097717285156221
376660312758,2,1,-1.7197700500488295
385475812479,2,1,0.560296630859375
441084582125,2,1,-4.612818908691407
475080016767,2,1,-1.2277923583984376
478867326164,2,1,3.630006408691409
479103788267,2,1,1.8086593627929688
537187849171,2,1,-1.9034194946289062
542684882646,2,1,0.0525390625
557130941888,2,1,-1.4081283569335965
595595653867,2,1,-3.5906145334243775
608781518181,2,1,-0.7244033813476562
628253346774,2,1,-0.6099609375
641972036799,2,1,1.596370315551758
645686800824,2,1,1.080784606933591
666880505392,2,1,0.1069091796875
666909089777,2,1,-4.42599046230316
668861049227,2,1,1.217138671875
671348925214,2,1,-1.0685104370117187
701099609956,2,1,-5.950030517578126
712406286736,2,1,-1.7919189453125
737828750163,2,1,0.7123380661010753
750626990804,2,1,5.502454376220703
754786406643,2,1,-15.18841552734375
756482156459,2,1,-3.2033843994140625
760820905212,2,1,-0.8621276855468754
761518668150,2,1,-0.44387207031250037
785879140021,2,1,-0.3152606964111328
803522135131,2,1,2.06130256652832
822205019881,2,1,-2.572784423828125
865611255867,2,1,-1.7742847442626952
945346587337,2,1,-2.430854797363284
968425765400,2,1,-0.45831756591797407
996553590521,2,1,0.4855340957641605
12978613609,4,1,-4.509687995910644
38639956153,4,1,-1.3894845783710479
58796474477,4,1,1.0137847900390597
71419700048,4,1,0.117254638671875
123183469520,4,1,-1.8670291900634772
163796231616,4,1,0.631059265136719
244418469024,4,1,-4.587730407714844
263992263004,4,1,-4.599960327148432
266126640839,4,1,0.3931549072265684
272993694525,4,1,-0.695574951171875
283817955758,4,1,0.34834289550781267
299489942844,4,1,7.059835052490234
326018211431,4,1,-1.7525283813476562
353267429629,4,1,-0.8802185058593721
368230630876,4,1,-2.6407257080078126
376660312758,4,1,-2.133206176757807
385475812479,4,1,-2.7875701904296846
441084582125,4,1,-4.561442565917963
475080016767,4,1,-2.070135498046875
478867326164,4,1,-2.32093963623047
479103788267,4,1,-2.0392852783203095
537187849171,4,1,0.2174373626708988
542684882646,4,1,5.393704795837403
557130941888,4,1,16.583828735351563
595595653867,4,1,3.782232666015625
608781518181,4,1,2.241204833984375
628253346774,4,1,-0.24717254638671945
641972036799,4,1,-0.1148452758789034
645686800824,4,1,-0.44309654235839846
666880505392,4,1,1.4693363189697266
666909089777,4,1,4.421876984834671
668861049227,4,1,-1.7273025512695312
671348925214,4,1,-2.6641704559326174
701099609956,4,1,-11.482220458984376
712406286736,4,1,1.5125267028808593
737828750163,4,1,-2.132852172851563
750626990804,4,1,4.27880859375
754786406643,4,1,17.035519886016846
756482156459,4,1,-2.7438026428222657
760820905212,4,1,2.790229797363281
761518668150,4,1,-1.6277694702148409
785879140021,4,1,-0.387652587890625
803522135131,4,1,-0.3828277587890625
822205019881,4,1,0.43815460205078127
865611255867,4,1,-0.5383544921875003
945346587337,4,1,-2.815643215179443
968425765400,4,1,4.537234497070313
996553590521,4,1,-3.4848724365234376
12978613609,6,1,-2.8011005401611326
38639956153,6,1,-0.01406097412109375
58796474477,6,1,-0.38030118942260704
71419700048,6,1,19.27545661926269
123183469520,6,1,2.487472534179687
163796231616,6,1,6.278848266601562
244418469024,6,1,-4.683061218261718
263992263004,6,1,-2.7620750427246095
266126640839,6,1,-0.430755615234375
272993694525,6,1,-1.6251205444335963
283817955758,6,1,-1.64700927734375
299489942844,6,1,19.463990020751954
326018211431,6,1,-0.0553955078125
353267429629,6,1,-2.124176025390625
368230630876,6,1,-1.1679206848144528
376660312758,6,1,-2.806796741485596
385475812479,6,1,-1.0016082763671874
441084582125,6,1,-2.869894409179687
475080016767,6,1,-0.9933218002319337
478867326164,6,1,6.219338989257812
479103788267,6,1,2.14586181640625
537187849171,6,1,-1.407318115234375
542684882646,6,1,0.24259948730468767
557130941888,6,1,-0.4911895751953123
595595653867,6,1,-12.768997979164123
608781518181,6,1,29.61403603553772
628253346774,6,1,-0.8908996582031264
641972036799,6,1,0.217254638671875
645686800824,6,1,0.3261260986328125
666880505392,6,1,-2.4479888916015624
666909089777,6,1,0.4989776611328125
668861049227,6,1,-0.15868988037109374
671348925214,6,1,-0.1358489990234375
701099609956,6,1,-5.110635375976562
712406286736,6,1,-2.0052955627441404
737828750163,6,1,0.289599609375
750626990804,6,1,17.17201957702637
754786406643,6,1,-2.603826904296878
756482156459,6,1,-0.981982421875
760820905212,6,1,0.30037460327148435
761518668150,6,1,2.579308700561524
785879140021,6,1,0.487335205078125
803522135131,6,1,-1.9233016967773433
822205019881,6,1,4.307547950744629
865611255867,6,1,-0.950677490234375
945346587337,6,1,-0.2928543090820309
968425765400,6,1,2.022424697875978
996553590521,6,1,-1.2345672607421876
12978613609,8,1,-6.751429748535155
38639956153,8,1,-2.300923156738281
58796474477,8,1,0.0203125
71419700048,8,1,2.863751220703125
123183469520,8,1,-0.11828613281250018
163796231616,8,1,-0.5432266235351566
244418469024,8,1,-2.720727634429932
263992263004,8,1,-2.820260620117188
266126640839,8,1,-0.09622230529785174
272993694525,8,1,-2.2557647705078123
283817955758,8,1,-0.19444503784179687
299489942844,8,1,-2.158209228515626
326018211431,8,1,-0.04554901123046875
353267429629,8,1,-0.017891693115234197
368230630876,8,1,0.14701004028320241
376660312758,8,1,-3.21943359375
385475812479,8,1,-1.4951995849609374
441084582125,8,1,-1.260284423828125
475080016767,8,1,-3.96280517578125
478867326164,8,1,-10.077688884735107
479103788267,8,1,-8.55983009338379
537187849171,8,1,-3.324275207519534
542684882646,8,1,-2.6007965087890623
557130941888,8,1,-1.7420108795166016
595595653867,8,1,14.005853447318074
608781518181,8,1,-15.1712064743042
628253346774,8,1,-1.205609130859375
641972036799,8,1,-1.1815185546875007
645686800824,8,1,-2.86392822265625
666880505392,8,1,1.4889328002929687
666909089777,8,1,-1.3175277709960938
668861049227,8,1,-2.4388635635375975
671348925214,8,1,-1.310577392578125
701099609956,8,1,-4.550123977661133
712406286736,8,1,-4.148869323730469
737828750163,8,1,-3.2369781494140626
750626990804,8,1,19.649280548095703
754786406643,8,1,-12.223364257812502
756482156459,8,1,-0.4382507324218746
760820905212,8,1,-2.132443237304682
761518668150,8,1,1.4264297485351562
785879140021,8,1,0.20284271240234375
803522135131,8,1,-0.7864410400390683
822205019881,8,1,-2.883702087402344
865611255867,8,1,-1.8967926025390625
945346587337,8,1,-0.9285797119140626
968425765400,8,1,-22.453991699218744
996553590521,8,1,-1.1497039794921862
18545178463,3,2,-0.5291748046875057
42404767125,3,2,-0.9267242431640625
47219052677,3,2,-2.794786834716797
75254959287,3,2,-2.42142333984375
141579159069,3,2,1.783734130859375
157286867732,3,2,-3.461455535888672
244346351129,3,2,-0.5683568954467774
281449537957,3,2,-1.9038726806640625
286533593898,3,2,-1.0663351058959958
307390059111,3,2,-2.5514053344726535
314751828555,3,2,-3.6563201904296876
340447094989,3,2,-1.0860504150390624
363396258093,3,2,-1.3798362731933593
372881010640,3,2,0.2931488037109375
413611575961,3,2,-5.38494873046875
424813729943,3,2,0.05950183868408203
450325436890,3,2,0.6581283569335937
453578034881,3,2,1.147247314453125
455088283633,3,2,-0.5046051025390625
485655207419,3,2,3.4357879638671873
490372725762,3,2,-0.35999908447265627
497830706648,3,2,4.074641418457034
499781516147,3,2,-1.805079650878903
514699809951,3,2,-0.07098112106323277
524084624601,3,2,-2.2716636657714844
526591815054,3,2,4.1753082275390625
560719192726,3,2,-0.8724433898925781
568911038571,3,2,3.4865778923034667
571510386420,3,2,-1.3929636001586914
607190310023,3,2,-4.514492797851562
610091723036,3,2,0.2016845703125
616859448142,3,2,0.130194091796875
662896639900,3,2,-0.052423095703125
665972822112,3,2,-1.140622820172995
706570674898,3,2,-1.760080337524414
711049351608,3,2,0.2050590515136716
747682140674,3,2,-0.7614288330078125
758610083023,3,2,5.703111267089843
764955634018,3,2,-1.0420944213867191
781632843660,3,2,10.164865875244143
788534438470,3,2,6.417939758300781
802470273105,3,2,17.159448242187505
818668159889,3,2,-1.1695732116699218
841781280934,3,2,-1.813808059692383
856257066596,3,2,-0.9243011474609375
881636635866,3,2,-4.685546112060547
928185260389,3,2,-0.3947418212890626
982309131650,3,2,0.8910713195800781
993634722428,3,2,-1.9798590183258056
18545178463,5,2,-2.294533920288086
42404767125,5,2,-1.7258079528808596
