measure,group,assigned_clamp_magnitudes,pointer,n,mean,sd,sem,t_critical,ci_low,ci_high
Azimuthal adaptation extent,1,"2, 4, 6, 8",Mouse,30,19.221648517527306,13.24095934714942,2.4174573724808717,2.045229642132704,14.277393040737188,24.165903994317425
Azimuthal adaptation extent,1,"2, 4, 6, 8",Trackpad,18,14.35984106431198,9.996728877346865,2.3562515929517835,2.1098155778333156,9.388584748207741,19.331097380416217
Azimuthal adaptation extent,2,"3, 5, 7, 10",Mouse,26,19.14020069867659,13.36975022222835,2.6220237413463012,2.0595385527532972,13.740041717139444,24.540359680213736
Azimuthal adaptation extent,2,"3, 5, 7, 10",Trackpad,23,22.792384218311177,19.858898887547312,4.140866665355622,2.073873067904025,14.204752363248604,31.380016073373753
Azimuthal adaptation extent,3,"15, 25, 35, 45",Mouse,27,31.84719056215934,16.062341012575747,3.0911989691420576,2.0555294386428735,25.493140080385338,38.201241043933344
Azimuthal adaptation extent,3,"15, 25, 35, 45",Trackpad,23,24.49158600989891,23.769704838042777,4.956326076614105,2.073873067904025,14.212794843858497,34.77037717593932
Azimuthal adaptation extent,4,"20, 30, 40, 50",Mouse,23,39.589952015315504,22.905656483154658,4.77615954017763,2.073873067904025,29.684803376928244,49.495100653702764
Azimuthal adaptation extent,4,"20, 30, 40, 50",Trackpad,26,18.942826893086803,15.413476228518714,3.0228313869813634,2.0595385527532972,12.717189113125963,25.168464673047644
Azimuthal adaptation extent,5,"55, 65, 75, 85",Mouse,32,27.477940137714903,25.892854117368557,4.577253182666331,2.0395134463964086,18.142570724106164,36.81330955132364
Azimuthal adaptation extent,5,"55, 65, 75, 85",Trackpad,16,15.95324394851923,13.42551034506852,3.35637758626713,2.1314495455597755,8.799294467543138,23.10719342949532
Azimuthal adaptation extent,6,"60, 70, 80, 90",Mouse,31,21.076167915328856,18.38543068789601,3.3021208315918993,2.0422724563012378,14.332337493590181,27.81999833706753
Azimuthal adaptation extent,6,"60, 70, 80, 90",Trackpad,15,12.893273980654776,8.254984509857684,2.1314278353252667,2.144786687917804,8.321815933191683,17.46473202811787
Azimuthal adaptation extent,7,"95, 105, 115, 125",Mouse,25,11.094172583706676,15.80454938533825,3.16090987706765,2.0638985616280245,4.570375234990938,17.617969932422415
Azimuthal adaptation extent,7,"95, 105, 115, 125",Trackpad,24,13.01234521243799,30.071595030249593,6.138338631310498,2.0686576104190486,0.31422428744828146,25.7104661374277
Azimuthal adaptation extent,8,"100, 110, 120, 130",Mouse,30,17.26435473543747,28.478991601408463,5.19952870503053,2.045229642132704,6.630124502789156,27.89858496808578
Azimuthal adaptation extent,8,"100, 110, 120, 130",Trackpad,18,5.156440185424354,6.9754175935977125,1.6441216940136307,2.1098155778333156,1.687646623540696,8.625233747308013
Azimuthal adaptation extent,9,"135, 145, 155, 165",Mouse,31,-1.4161586220045723,10.203691672739374,1.8326371246704436,2.0422724563012378,-5.158902944114117,2.326585700104972
Azimuthal adaptation extent,9,"135, 145, 155, 165",Trackpad,17,-0.6213156110223601,7.8902922034664265,1.9136769512870346,2.1199052992212546,-4.678129521053319,3.435498299008599
Azimuthal adaptation extent,10,"140, 150, 160, 170",Mouse,27,0.7049512814040533,13.394873523143483,2.5778446114492937,2.0555294386428735,-4.593884205676869,6.003786768484976
Azimuthal adaptation extent,10,"140, 150, 160, 170",Trackpad,22,-1.0944736708294263,5.003715482077444,1.0667957252185698,2.0796138447276795,-3.3129968304902695,1.1240494888314168
Early STL,1,"2, 4, 6, 8",Mouse,30,0.32321521004041026,1.668291588858527,0.3045869785713165,2.045229642132704,-0.2997351071412849,0.9461655272221055
Early STL,1,"2, 4, 6, 8",Trackpad,18,-0.31424146758185517,2.9702596127323857,0.7000969046825328,2.1098155778333156,-1.791316823073949,1.1628338879102385
Early STL,2,"3, 5, 7, 10",Mouse,26,0.5585476609376762,1.5451280914896708,0.3030245495963927,2.0595385527532972,-0.06554308138679821,1.1826384032621506
Early STL,2,"3, 5, 7, 10",Trackpad,23,-0.18314400548520296,3.864070629408833,0.8057144231663349,2.073873067904025,-1.8540934481116917,1.4878054371412859
Early STL,3,"15, 25, 35, 45",Mouse,27,1.1799888443063808,1.6881726279717848,0.32488897373268927,2.0555294386428735,0.5121699945083668,1.8478076941043948
Early STL,3,"15, 25, 35, 45",Trackpad,23,1.322237188531005,4.667845804419579,0.9733131328173233,2.073873067904025,-0.696290704256135,3.340765081318145
Early STL,4,"20, 30, 40, 50",Mouse,23,1.8848711822343909,5.459023627087909,1.1382851129259624,2.073873067904025,-0.4757876570588542,4.245530021527636
Early STL,4,"20, 30, 40, 50",Trackpad,26,1.0560872651063478,3.9244259445545597,0.7696432488820576,2.0595385527532972,-0.5290226778325509,2.6411972080452464
Early STL,5,"55, 65, 75, 85",Mouse,32,1.4942670091986658,2.781315267071815,0.49167172149103844,2.0395134463964086,0.49149592200482295,2.497038096392509
Early STL,5,"55, 65, 75, 85",Trackpad,16,0.8025874048471451,0.49513767464315817,0.12378441866078954,2.1314495455597755,0.5387471619452242,1.066427647749066
Early STL,6,"60, 70, 80, 90",Mouse,31,0.6580651383246143,1.8120604440039998,0.32545566333611026,2.0422724563012378,-0.0066039986539722095,1.3227342753032008
Early STL,6,"60, 70, 80, 90",Trackpad,15,0.4880768712361654,0.5098182341424727,0.13163450202844468,2.144786687917804,0.20574894361486806,0.7704047988574627
Early STL,7,"95, 105, 115, 125",Mouse,25,-0.36102925825119025,2.557775622393289,0.5115551244786578,2.0638985616280245,-1.416827143856137,0.6947686273537566
Early STL,7,"95, 105, 115, 125",Trackpad,24,0.716416682799657,3.813880759351682,0.7785051500191721,2.0686576104190486,-0.8940439205379265,2.3268772861372407
Early STL,8,"100, 110, 120, 130",Mouse,30,0.4015805451075237,2.272271815110579,0.41485817663975744,2.045229642132704,-0.4468996950372335,1.250060785252281
Early STL,8,"100, 110, 120, 130",Trackpad,18,0.34938161638048004,0.5804104510162161,0.13680405526170297,2.1098155778333156,0.060750289478569364,0.6380129432823907
Early STL,9,"135, 145, 155, 165",Mouse,31,0.004012815413936519,0.5435235018117556,0.0976197027015507,2.0422724563012378,-0.195353214605756,0.20337884543362905
Early STL,9,"135, 145, 155, 165",Trackpad,17,0.17040242587818819,1.3859421747457488,0.3361403516161748,2.1199052992212546,-0.5421832867950365,0.8829881385514129
Early STL,10,"140, 150, 160, 170",Mouse,27,-0.26772816004576505,1.1107920973613008,0.21377203880841866,2.0555294386428735,-0.7071428789751764,0.1716865588836463
Early STL,10,"140, 150, 160, 170",Trackpad,22,0.03423105586658825,0.7728465855893505,0.16477144568063712,2.0796138447276795,-0.3084299237866595,0.376892035519836
Washout STL,1,"2, 4, 6, 8",Mouse,30,-1.1490135261664787,2.067440601240142,0.3774612845337563,2.045229642132704,-1.9210085340524037,-0.37701851828055355
Washout STL,1,"2, 4, 6, 8",Trackpad,18,0.5396962612867356,3.3758350604447367,0.7956919544692573,2.1098155778333156,-1.1390670194091408,2.2184595419826123
